,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size
0,150M,1,0.3386547692333619,0.3032154532614549,0.3471812135939742,-0.3721770251732565,0.4966011838028588,0.5436773484257293,0.684332932607503,0.1970276015597751,3,32
1,150M,2,0.0,0.4300866131901441,0.4499118270202449,-0.0459651142163382,0.41823967862628,0.4376284784424005,0.3043895343384866,-0.558406824652226,1,32
2,150M,3,0.1294354632208312,0.4004645685286441,0.4220566005902338,0.0246733077115292,0.3839503269126094,0.4165658881223135,0.5994333852233985,0.4638168285219587,1,32
3,150M,4,0.5664284650152289,0.2645684777010101,0.2929042779766994,-0.4187967756633399,0.4420505260510509,0.5021538593717424,0.8221581422698023,0.0857142857142857,9,32
4,150M,5,0.0408826772422314,0.4218652966460594,0.4445382405923172,0.0194211264607396,0.386118577917706,0.4104725944662117,0.6385344563620243,-0.0869656553478672,1,32
0,150M,1,0.4649578568992319,0.2797406199840629,0.3217639138015025,0.0531422116839072,0.3864702992247427,0.4441620234597393,0.6562370499319456,0.5105215721885508,25,100
1,150M,2,0.5140741503903838,0.2669075183025114,0.3114746249340804,-0.2932015974395947,0.389993408348041,0.4874758885539257,0.6638045259936042,0.015151949958889,18,100
2,150M,3,0.7459492505758855,0.1911216433898338,0.2270893722408156,-0.2560973509013651,0.3298095677624157,0.4590881704498958,0.7851867507755549,0.0256605600615978,37,100
3,150M,4,0.0915055083208308,0.3807936463602959,0.4202260794080084,0.0017238332396779,0.4219463260056434,0.4521560872117282,0.3588777860328836,0.1638240865978185,6,100
4,150M,5,0.0445801197117593,0.3888199873698348,0.4278303471148035,-0.02838141072993,0.4173597079376563,0.4683134266101089,0.2664332843316542,0.0445571556136834,1,100
0,150M,1,0.4468496768827636,0.2984155794900359,0.3438339452023708,0.1621035176931202,0.365242377594459,0.417427236099688,0.659490935377255,0.3275084193643961,43,320
1,150M,2,0.5702855049399596,0.2562193805071627,0.3042654213428277,0.1045068189859643,0.3489484932166882,0.4267351523398037,0.7365105431558239,0.4292271652481159,73,320
2,150M,3,0.4811783756756009,0.2879880629926347,0.3338784478674652,0.1936879830924461,0.3385491603157644,0.3964165073658169,0.6984835516836544,0.3970411284447143,49,320
3,150M,4,0.435156659921894,0.2934667473144046,0.3426601972406566,0.2128022314296009,0.3683176621549688,0.4113675103438334,0.6216111285350951,0.5105337292163639,48,320
4,150M,5,0.5674682407491715,0.2566147082601683,0.3026506419996798,0.1825771606701267,0.3461013215129804,0.4213353068017194,0.710140971835732,0.4927501200360296,72,320
0,150M,1,0.5515344331831246,0.244626343217148,0.3012990198719204,0.2947037797953141,0.3133294722594906,0.3840256020633726,0.6880967103579573,0.5216505804577958,178,1000
1,150M,2,0.5645997323343833,0.2417319553355192,0.298289825695535,0.3101335600769419,0.2970152118614776,0.3726539848073014,0.7076091408380427,0.518769045660442,185,1000
2,150M,3,0.6222963089280842,0.2247803441686578,0.2788550261824165,0.2080792008142657,0.3134814551334973,0.3890129748228755,0.7432257890302414,0.4571959348970009,227,1000
3,150M,4,0.5322765097328548,0.2545261254737554,0.3091265805884117,0.2050513545480999,0.3328918227191119,0.3997385688213884,0.6827691213179778,0.4466368415541939,152,1000
4,150M,5,0.5715113834555456,0.2404071754665959,0.2942258410613715,0.1644435643894358,0.3375743143865806,0.4176582221987896,0.7091910805024425,0.4645373413957709,166,1000
0,150M,1,0.5209667692191998,0.256111586147294,0.3136602399990346,0.3048736288986204,0.2981338743285103,0.3712674194391567,0.6824975375190016,0.547170729156615,281,3200
1,150M,2,0.5186986067614834,0.2553375920352229,0.3129646340584638,0.4019899386412336,0.2851192230141854,0.3507974080347527,0.6854160960184251,0.5644319697653319,308,3200
2,150M,3,0.5112246232186979,0.2586879754541143,0.3157912352598697,0.3876401266177401,0.2905992053917429,0.3532237248092019,0.6752204127916116,0.5911634396811729,286,3200
3,150M,4,0.5552404598800326,0.2447447129356636,0.3013796953960698,0.3778370600114846,0.2822884520574248,0.3554190030672703,0.6990635418264332,0.5822357122966939,354,3200
4,150M,5,0.5260813781626299,0.2515357633884559,0.3099941141454248,0.4105452892352522,0.2861794307846848,0.3506127673267787,0.6776787677064019,0.6166398007015876,318,3200
0,150M,1,0.5163483620508249,0.250330530264876,0.3116737731651603,0.4299296770060364,0.2751973197710647,0.3421491431498345,0.6803934298281912,0.6281628244015497,556,10000
1,150M,2,0.5172468771516681,0.2507290945104573,0.3122718495227674,0.4335227838703742,0.2670658804182855,0.3373895753999519,0.6843228481057528,0.6295108851235964,582,10000
2,150M,3,0.509415717377333,0.2530026660266667,0.3147425980188816,0.45572025196639,0.2682676532594062,0.3309494425792792,0.6796263456392164,0.6462736427160101,569,10000
3,150M,4,0.5102416628323669,0.2520255924278818,0.3136997873851028,0.4460356389754802,0.2695997421118887,0.3369846979193472,0.6757837133196825,0.641509943586293,564,10000
4,150M,5,0.5150786422902061,0.2524689646516399,0.3139369806685022,0.4346233924018727,0.2658613242267665,0.3326442150970299,0.6848847048358766,0.6210238063391981,571,10000
0,150M,1,0.4972495414981415,0.2536305280230051,0.3175752333868896,0.487172597981976,0.257940717449442,0.3232071171641882,0.6690217584965362,0.6679033714788432,587,32000
1,150M,2,0.5017239382033143,0.2536247983345879,0.3172839310144911,0.4719993623926644,0.2576373664981133,0.3232217660734981,0.6739558915875578,0.6523361381012458,597,32000
2,150M,3,0.5035499959656198,0.2525645309692577,0.3161738298815991,0.4658382401719818,0.2606907744961662,0.3274554559637919,0.6745555116675402,0.6474688833415077,595,32000
3,150M,4,0.5007951076031856,0.2529491176121529,0.3167399603467716,0.4782199016163406,0.2587448051950705,0.3249048916681379,0.6718535867019185,0.6608254807822449,584,32000
4,150M,5,0.499678298083395,0.2532447382057025,0.3172941857840463,0.480411765073014,0.2592054383774054,0.3234070189140269,0.6722939522620458,0.6539699948493544,586,32000
0,150M,1,0.488929365592217,0.2570878061248855,0.3209356228380289,0.4886974958401465,0.2571332858438929,0.3202083946494418,0.665706957249363,0.6640891987938722,580,100000
1,150M,2,0.491081931259185,0.2563261802678976,0.3202307036004332,0.4789270581805988,0.2584063541861801,0.3233760218883781,0.6666802064855977,0.657478798607085,580,100000
2,150M,3,0.4925371454728563,0.2558041932407652,0.3195487718334237,0.4739113798990285,0.2603220285015743,0.3258418699461834,0.6676264991730027,0.655843357080707,570,100000
3,150M,4,0.4893426550991895,0.2568618545830405,0.320724373671382,0.4884153688232426,0.2565325034508142,0.3206355456280383,0.665255168009305,0.667869021018054,566,100000
4,150M,5,0.4903320051525784,0.2561473185583102,0.3200695959006375,0.4840178469909244,0.2591239935989747,0.3233796462801262,0.6666914005329108,0.661199584190586,593,100000
0,150M,1,0.4863856318757015,0.2577014956965519,0.3216214957716796,0.48398214504693,0.258664286025462,0.3227905720015889,0.6630227534982915,0.6620214817088225,575,320000
1,150M,2,0.4861279776469241,0.2580371983949807,0.321878048553443,0.4859048008304061,0.2576279561482527,0.3214875376603166,0.6632934615622483,0.6620413310223547,574,320000
2,150M,3,0.4863221770329906,0.2579096135903506,0.3217745037755928,0.4832827071136102,0.2584390571681964,0.3224809056376331,0.6632007634024779,0.6603730054406381,579,320000
3,150M,4,0.4865973863532782,0.2576660147982308,0.3215683837359315,0.4830827090037738,0.2592498412129815,0.323023542972277,0.6629013278329622,0.6630027420802098,574,320000
4,150M,5,0.4865934401958097,0.257813175588008,0.3216559501176654,0.484501198611716,0.2578312776781101,0.3222331472771582,0.6637658631734538,0.6613079198914734,568,320000
0,150M,1,0.4850042404657767,0.2584943606927725,0.322340911386314,0.4861425006387481,0.2576441718541954,0.3213978984504195,0.6631054761581698,0.6620278922679748,575,496137
1,150M,2,0.4856988293698091,0.2583321886451071,0.3221621936693845,0.4825186552371795,0.2583039299328851,0.3223702862718494,0.663498438262058,0.659041278194189,570,496137
2,150M,3,0.4857869099177029,0.257934194367344,0.3218821589029869,0.4822764470879425,0.2592494387181118,0.323458504792832,0.6624611796813131,0.6621915296869152,572,496137
3,150M,4,0.4853569784658935,0.258030048999963,0.3220032794481929,0.4839092759654763,0.2592522765528149,0.3230074226858598,0.6624689873968944,0.6620824746112539,575,496137
4,150M,5,0.4853874631231449,0.2581386223814982,0.32203869547449,0.4847879593073477,0.2582789185682086,0.3225538979537258,0.662557760662631,0.6636729371950607,565,496137
0,650M,1,0.0,0.3855840985516161,0.4269156778464864,-0.2749838330615717,0.4933964224682,0.5240690427618511,,,0,32
1,650M,2,0.0,0.4300866131901441,0.4499118270202449,-0.0459651142163379,0.4182396786262799,0.4376284784424005,0.1774880732022077,,1,32
2,650M,3,2.220446049250313e-16,0.4307490436642899,0.4523454338454871,-0.0008437195791159,0.3835740037764743,0.4219799172031425,0.434650299710618,-0.5251050315105036,1,32
3,650M,4,0.0,0.4274609586144971,0.4448312954200319,-0.2044630204392235,0.4485420924625512,0.4626722409794845,,,0,32
4,650M,5,0.0,0.4301737590986982,0.4539136666080796,-0.0003974017083141,0.3870640634743974,0.4145998855312383,,,0,32
0,650M,1,0.0,0.400581083101941,0.4398892414284788,-8.448254410398093e-05,0.4279101863254091,0.4564754121678407,,,0,100
1,650M,2,0.3687118283818833,0.3045026049063813,0.3550189181536362,-0.1636156446467793,0.3962473717949749,0.4624074251441666,0.6196774202627927,0.1666714495477795,18,100
2,650M,3,0.0988742059930347,0.3938465320356966,0.4276901814173684,-0.0999542693355939,0.3880829405014041,0.4296074136047741,0.3772479962641506,-0.0520758424779485,5,100
3,650M,4,0.1853228206490825,0.3555799535701984,0.39793728054886,-0.1205487506687723,0.4382177424497137,0.4790473129321566,0.436267470981361,-0.2186861062956926,7,100
4,650M,5,0.4740890694777454,0.2735111482241617,0.3174172675115456,-0.2081216639904988,0.4582844261832199,0.5075920792499717,0.7248319510970627,-0.0276561655533207,22,100
0,650M,1,0.2316020031067193,0.3616169762596004,0.4052474374036315,-0.0638769944234347,0.4233259061025672,0.4703610027613419,0.4659218059112803,0.0610287143676338,14,320
1,650M,2,0.1382468969069965,0.3973117250475871,0.4308777075087968,0.1271161960539634,0.3848265275472459,0.4213136166082434,0.3848212183301949,0.3493385059234571,9,320
2,650M,3,0.1726856526935161,0.3854248549972602,0.4216136173335169,0.0356647094532848,0.3992595090203601,0.433525047856045,0.387924569873433,0.2690080753839624,10,320
3,650M,4,0.1276367910673859,0.3865041929501389,0.4258418353752496,0.0966099477035303,0.4066966282492064,0.440682407247863,0.3637525627893534,0.3453941123971858,8,320
4,650M,5,0.1359715367395149,0.3931880609103544,0.4277565057053641,0.1465874257030065,0.3943435173638178,0.4305107378526431,0.3684626231029588,0.4239970243815679,8,320
0,650M,1,0.2962458413366091,0.3220737888890595,0.3774362896363423,0.0840528251683854,0.3848866056827936,0.4376325479597898,0.4798458706155102,0.2686173060730032,72,1000
1,650M,2,0.4117580457186938,0.2887775344481447,0.3467145699961637,0.0582396871947358,0.3696979422870461,0.4354050408585844,0.5794967728488489,0.3045105457200238,113,1000
2,650M,3,0.2626158485625848,0.3431150163327631,0.3896276435065541,0.1439886323199889,0.3487897915900108,0.4044482661397288,0.4591719673844381,0.3013316760719868,73,1000
3,650M,4,0.2890750352525714,0.3300747293232165,0.3811128933993026,0.1919670398823957,0.3514589916875556,0.4030148551240056,0.4891142512454525,0.3718828232320997,75,1000
4,650M,5,0.3648428083302104,0.3047096791577449,0.3582216075856226,0.2368559291714636,0.3383435468137705,0.3991502525806131,0.5467926903498346,0.4391735964283133,116,1000
0,650M,1,0.4662785199655647,0.2717335307870133,0.3310807957990043,0.2568388071975095,0.3139707496729315,0.3838808684237482,0.6321861676606794,0.4658415906524396,429,3200
1,650M,2,0.4339546110535796,0.2811667075963758,0.3394003866926889,0.2362752871994857,0.3262146972222622,0.3964336875881881,0.6120681733103244,0.4047187288067075,326,3200
2,650M,3,0.4544477765105016,0.2740919418309834,0.3336288339195834,0.3296224913544274,0.3046461725188035,0.3695780938724552,0.621663590774362,0.531147844618405,438,3200
3,650M,4,0.4743469229174091,0.2675506024197838,0.3276430490841102,0.2913615328950444,0.3112679958043774,0.3793158033751854,0.6325910760705853,0.4760519312796449,481,3200
4,650M,5,0.427214543690177,0.281750886657451,0.340798403895474,0.370623430272442,0.296597687245567,0.3622912045890382,0.6052484669325742,0.5499373052411287,366,3200
0,650M,1,0.4204981041273637,0.2794877728326055,0.3411625546317929,0.3086164256423191,0.3102930879511718,0.376799891481702,0.6011343072862896,0.5142228542826686,783,10000
1,650M,2,0.4089071272674611,0.2845549201775019,0.3455398584132673,0.3408919885946561,0.2991722891932822,0.3639307323558081,0.595213267152366,0.5360614568286909,783,10000
