,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method,Dataset,Dataset_Name,ModelSize,parameters,dataset_size,group,prot_length
0,esm1v,1,0.5214987268348295,0.2581964128970483,0.344135418993888,0.4163477493219704,0.2993746996370708,0.393177435674722,0.7518071350594794,0.6910861603838049,187,mean,UBC9_HUMAN_Roth2017,UBC9 HUMAN,650M,650000000.0,2722,Growth,159
1,esm1v,2,0.562205271164806,0.2468489424929247,0.3318445044590922,0.4632355247197655,0.2716679632077797,0.3654629270134747,0.7772343352549511,0.701521442776689,262,mean,UBC9_HUMAN_Roth2017,UBC9 HUMAN,650M,650000000.0,2722,Growth,159
2,esm1v,3,0.5777849472818064,0.2426277616339457,0.3276336632115716,0.4400297099813052,0.2765861016613242,0.3649719080020784,0.7843251797715415,0.695572828888619,254,mean,UBC9_HUMAN_Roth2017,UBC9 HUMAN,650M,650000000.0,2722,Growth,159
3,esm1v,4,0.5365164691763904,0.2570234022185021,0.345486822714623,0.4685731469677104,0.2664808889357727,0.3456581922237248,0.7656947493988695,0.7027482466921835,213,mean,UBC9_HUMAN_Roth2017,UBC9 HUMAN,650M,650000000.0,2722,Growth,159
4,esm1v,5,0.6080117196200137,0.234793947233319,0.3093533925544712,0.3311495037378597,0.2958964058570871,0.4312835589716494,0.7982683978784488,0.6520825900528927,290,mean,UBC9_HUMAN_Roth2017,UBC9 HUMAN,650M,650000000.0,2722,Growth,159
5,esm1v,1,0.6062985290771825,0.16797796354194,0.2474193937048487,0.5173062079212812,0.1976661363926126,0.2863601613467301,0.6786172111222921,0.6121903214455083,107,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,650M,650000000.0,1659,Peptide binding,724
6,esm1v,2,0.6543921510706336,0.1579941950315359,0.2302578957615392,0.5864085090663622,0.184295380296206,0.2710599620469394,0.7013707966539713,0.6687173518108477,142,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,650M,650000000.0,1659,Peptide binding,724
7,esm1v,3,0.4930722863403348,0.1969383341420054,0.2873467915717738,0.4450582416224664,0.2012640961281307,0.2781979884615026,0.6225925549025421,0.5325986001811347,66,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,650M,650000000.0,1659,Peptide binding,724
8,esm1v,4,0.5329848469983842,0.1835464990009038,0.2677714897042498,0.430551946386241,0.2071925702596308,0.3176531371275846,0.6165742285095864,0.6115725190245327,75,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,650M,650000000.0,1659,Peptide binding,724
9,esm1v,5,0.6199235619832786,0.1746897801355054,0.2515579362015491,0.5142050764873454,0.1665214472124334,0.2463268578447589,0.6844313237204764,0.655470933583232,106,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,650M,650000000.0,1659,Peptide binding,724
10,esm1v,1,0.3253073231299058,1.4191090834981115,1.7409621663746444,0.3073201976847409,1.4016120486745456,1.7270399377944448,0.6081539266573591,0.5908640725535611,97,mean,BF520_env_Bloom2018,BF520 env,650M,650000000.0,12577,Viral replication,852
11,esm1v,2,0.3149782510141575,1.427735708210274,1.751108057493734,0.3015452540637137,1.426309855931649,1.7471588312725868,0.6016523712043795,0.5788563524778779,84,mean,BF520_env_Bloom2018,BF520 env,650M,650000000.0,12577,Viral replication,852
12,esm1v,3,0.298182529525162,1.4432337089745522,1.765849522051281,0.2853957860186116,1.467856859259944,1.7934195601701373,0.5902736482766143,0.5825931118330031,76,mean,BF520_env_Bloom2018,BF520 env,650M,650000000.0,12577,Viral replication,852
13,esm1v,4,0.284778476392902,1.465759832906257,1.785342063483975,0.261777219883502,1.47904829500742,1.8123475955867687,0.5800410234615854,0.5578781509481304,62,mean,BF520_env_Bloom2018,BF520 env,650M,650000000.0,12577,Viral replication,852
14,esm1v,5,0.2867240650611702,1.4490745920948829,1.773024589200155,0.292578576591063,1.4986545383653638,1.8129115769880173,0.5810789113796119,0.5825739358564954,72,mean,BF520_env_Bloom2018,BF520 env,650M,650000000.0,12577,Viral replication,852
15,esm1v,1,0.6582475150140816,0.8930226333935448,1.144674484404116,0.4838778080055335,1.0731915711022333,1.3831636557448133,0.7819587535115861,0.6556681452989334,100,mean,BLAT_ECOLX_Tenaillon2013,BLAT ECOLX 2013,650M,650000000.0,989,Other,286
16,esm1v,2,0.6652020097622735,0.8926063439408343,1.1377596843643851,0.5180510654772787,1.021240867992158,1.3086946456982522,0.7713433246596579,0.6901188838532988,118,mean,BLAT_ECOLX_Tenaillon2013,BLAT ECOLX 2013,650M,650000000.0,989,Other,286
17,esm1v,3,0.6818755701296624,0.857260780154783,1.095001033988527,0.4764397440093196,1.101624264950439,1.440640382042946,0.7712753109050631,0.702193377300308,117,mean,BLAT_ECOLX_Tenaillon2013,BLAT ECOLX 2013,650M,650000000.0,989,Other,286
18,esm1v,4,0.5908635503330096,0.9593557182828188,1.21920388980812,0.5549379380068983,1.0538447794248174,1.4096423736843795,0.7381812912125281,0.7312449934322245,90,mean,BLAT_ECOLX_Tenaillon2013,BLAT ECOLX 2013,650M,650000000.0,989,Other,286
19,esm1v,5,0.6956645919805696,0.8489888581439945,1.0945102311885182,0.461233350277723,1.0489523317802116,1.330925047026552,0.785748852493914,0.6796087726755035,136,mean,BLAT_ECOLX_Tenaillon2013,BLAT ECOLX 2013,650M,650000000.0,989,Other,286
20,esm1v,1,0.2974673250160523,0.1289538623095099,0.1563465933487697,0.2866183039473838,0.1305362472981256,0.1582046107706807,0.5640790786439731,0.5278819574975564,27,mean,RL401_YEAST_Fraser2016,RL401 2016,650M,650000000.0,1324,Growth,128
21,esm1v,2,0.2246716586089,0.13806872733183,0.1652405452547825,0.1762954243378975,0.1365856725335194,0.165936264352931,0.4964387076174632,0.4295350936915995,11,mean,RL401_YEAST_Fraser2016,RL401 2016,650M,650000000.0,1324,Growth,128
22,esm1v,3,0.3095739561482495,0.1305003144944353,0.1571157404094401,0.2482538469801771,0.1255308405851397,0.152679029440272,0.5789296309930158,0.4563924781792378,25,mean,RL401_YEAST_Fraser2016,RL401 2016,650M,650000000.0,1324,Growth,128
23,esm1v,4,0.2489317387283282,0.1313087937225449,0.1599643569938712,0.1860247709670509,0.145774330186014,0.1746889295873809,0.4970253688015719,0.512419173548325,18,mean,RL401_YEAST_Fraser2016,RL401 2016,650M,650000000.0,1324,Growth,128
24,esm1v,5,0.2544312707581595,0.1324412475399823,0.1601909430319039,0.2875401250251579,0.1358964257627355,0.1615414224613035,0.5340929995835927,0.5710197936238445,20,mean,RL401_YEAST_Fraser2016,RL401 2016,650M,650000000.0,1324,Growth,128
25,esm1v,1,0.5254670981948744,0.4611522813745588,0.6131894785365447,0.385259145439275,0.4998731462680442,0.6644290617843439,0.6890115623658365,0.6413861244309758,204,mean,BG_STRSQ_hmmerbit,BG STRSQ,650M,650000000.0,3500,Enzyme function,501
26,esm1v,2,0.4486207974055799,0.4955658603811264,0.6559322111385193,0.3538146756240444,0.5215994505964007,0.7038813142153459,0.6515437614784626,0.5762851567888402,131,mean,BG_STRSQ_hmmerbit,BG STRSQ,650M,650000000.0,3500,Enzyme function,501
27,esm1v,3,0.4347279052870875,0.5023595223964964,0.6658389138254885,0.4292756825130701,0.4990764802885055,0.6524239839043586,0.6491983921113097,0.6258965566884209,140,mean,BG_STRSQ_hmmerbit,BG STRSQ,650M,650000000.0,3500,Enzyme function,501
28,esm1v,4,0.5191902601304389,0.4469518757457393,0.5948369697094175,0.3913596637444875,0.5510234568357467,0.749704830550272,0.6813155979425425,0.657821618299029,214,mean,BG_STRSQ_hmmerbit,BG STRSQ,650M,650000000.0,3500,Enzyme function,501
29,esm1v,5,0.4415894338910024,0.5029502186572552,0.6657222404899888,0.3486569036951362,0.5050283977161135,0.680374249546374,0.6489954357151393,0.5781371315447905,128,mean,BG_STRSQ_hmmerbit,BG STRSQ,650M,650000000.0,3500,Enzyme function,501
30,esm1v,1,0.220829154213655,0.4081297956998446,0.5411160878666716,0.2109547281209437,0.4026009828437542,0.5161561789372455,0.5394622046339902,0.5486701736592448,25,mean,TIM_THEMA,TIM THEMA,650M,650000000.0,1519,Growth,252
31,esm1v,2,0.2558708319523551,0.3860083046647138,0.5101803043121474,0.1825981180221874,0.434365833004686,0.6000316136028072,0.5834301265569608,0.4709086870723311,30,mean,TIM_THEMA,TIM THEMA,650M,650000000.0,1519,Growth,252
32,esm1v,3,0.2060607130647214,0.4181872569237895,0.5476616333537804,0.2101056204653922,0.3885230745894299,0.5096253350814341,0.5463798963263812,0.518660248250882,25,mean,TIM_THEMA,TIM THEMA,650M,650000000.0,1519,Growth,252
33,esm1v,4,0.3055428424844609,0.3872396461188367,0.5144083651937887,0.1703558820770632,0.3959984659348774,0.5104242606999368,0.619686623277196,0.4800113617919169,39,mean,TIM_THEMA,TIM THEMA,650M,650000000.0,1519,Growth,252
34,esm1v,5,0.2202497153899254,0.3956088657040931,0.5269049953129319,0.2155773335487928,0.4316875694546394,0.5699714580538491,0.5596732502124959,0.5808311965738224,28,mean,TIM_THEMA,TIM THEMA,650M,650000000.0,1519,Growth,252
35,esm1v,1,0.7978194046110993,0.1249559204450876,0.1647438789828562,0.6475267269588634,0.1598650092820306,0.2106581119843391,0.8673234483461565,0.7922340657773331,204,mean,PABP_YEAST_Fields2013_singles,PABP singles,650M,650000000.0,1187,Growth,577
36,esm1v,2,0.5099594332538121,0.2085288067303707,0.2505779847453447,0.419645035842903,0.2282694400997487,0.2952381404522402,0.7282204730140635,0.7319862998609117,39,mean,PABP_YEAST_Fields2013_singles,PABP singles,650M,650000000.0,1187,Growth,577
