,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,param,datse_size
620,IF1 ECOLI,Lasso,1,0.6919612181945549,0.1151000885328382,0.1582938282088336,0.5340484900820168,0.1333472213732313,0.1818346956378237,0.678169755190466,0.6344935959850911,113,mean,150M,1439
621,IF1 ECOLI,Lasso,2,0.4068604979108784,0.1546178092784482,0.2162301612109761,0.3999722432729956,0.1595838043487593,0.2208552117927781,0.5604149852578124,0.5701220638082504,28,mean,150M,1439
622,IF1 ECOLI,Lasso,3,0.4068834580929961,0.1507534587808005,0.2121981984665248,0.4333346955051587,0.1588109430328942,0.2284247603194008,0.5649636422053027,0.5914134003663889,33,mean,150M,1439
623,IF1 ECOLI,Lasso,4,0.5474526149922201,0.1366129428805076,0.1912943700046021,0.3727072982557169,0.1503230531937198,0.2142012001421308,0.6073091798276158,0.573935951434805,54,mean,150M,1439
624,IF1 ECOLI,Lasso,5,0.6060301650189065,0.127437406181902,0.1770781594149059,0.5900598922413759,0.1294534625309269,0.1789945668735331,0.6475213970408298,0.581756274185047,75,mean,150M,1439
880,RL401 2013,Lasso,1,0.7847197494380046,0.1102060898736192,0.1532353767014311,0.6195770469016708,0.1552788401119352,0.2312087513427891,0.8411678641518536,0.7963321180657957,222,mean,150M,1269
881,RL401 2013,Lasso,2,0.3787694729432369,0.2092721218739824,0.2698533163935945,0.3142945883215302,0.210082773592059,0.2756618254208593,0.6157379869277431,0.5499037196527065,22,mean,150M,1269
882,RL401 2013,Lasso,3,0.7646858627734805,0.1215722780298129,0.1686234300082336,0.5754611239597205,0.1507134229179442,0.2006208253838221,0.8414195008715487,0.7344528578729561,177,mean,150M,1269
883,RL401 2013,Lasso,4,0.6897181461493833,0.1360653826098136,0.1916684277213524,0.5654610946046184,0.1547324000850437,0.2146876691428087,0.8056432179321216,0.7787976675452019,118,mean,150M,1269
884,RL401 2013,Lasso,5,0.6916420622695837,0.1335852717209284,0.1875545745427313,0.5965097320696306,0.1587800849332168,0.2231119766032681,0.8201398273088678,0.7443864023616246,120,mean,150M,1269
1065,PABP singles,Lasso,1,0.6386338078586455,0.1726730295199344,0.2202486786481513,0.5503961047629932,0.1918237760616487,0.2379195470785148,0.7758992689517087,0.7257619984703131,66,mean,150M,1187
1066,PABP singles,Lasso,2,0.6561528907387428,0.1699908488450487,0.2098986204362462,0.5723799900515236,0.1826903903358939,0.2534280133514898,0.7761676167580253,0.7725446221435334,71,mean,150M,1187
1067,PABP singles,Lasso,3,0.6230853150382074,0.1735587428559109,0.2211952483736618,0.5883896759605866,0.1940444783565712,0.2408236931863282,0.7673332364141408,0.7893498527924364,63,mean,150M,1187
1068,PABP singles,Lasso,4,0.6455923945232089,0.1730462278003078,0.2195426727005627,0.5817613540240445,0.1800833249233274,0.2226727381606492,0.7861115640639449,0.7082414600682582,66,mean,150M,1187
1069,PABP singles,Lasso,5,0.6275177950590551,0.1762581824249668,0.2240308189266953,0.5831354814354626,0.1854398214702363,0.226764224676733,0.777273426527315,0.690726193931767,61,mean,150M,1187
1285,HSP82 YEAST,Lasso,1,0.5883713872520931,0.1550248364310277,0.2252420313369311,0.5680185699692648,0.1546432649403853,0.226909244862161,0.5671430537342759,0.5333431332615132,100,mean,150M,4543
1286,HSP82 YEAST,Lasso,2,0.630978418342546,0.1442432186059956,0.2118145723347498,0.6168880757474916,0.1535844828516792,0.2195973189085544,0.5894596736529716,0.5568719667216966,154,mean,150M,4543
1287,HSP82 YEAST,Lasso,3,0.6082446839589414,0.1490391714381904,0.2179645838770411,0.5869876077403373,0.1606338834584778,0.2292149467242522,0.572074672373508,0.5685633771155584,119,mean,150M,4543
1288,HSP82 YEAST,Lasso,4,0.6255696753987197,0.1470793286566162,0.2127156352157411,0.5601865445366477,0.1559844544814017,0.2380650943916758,0.5742263881873834,0.5798076609718216,133,mean,150M,4543
1289,HSP82 YEAST,Lasso,5,0.6152101992621997,0.1503517453261331,0.219606995529763,0.5715662675210202,0.148048858385457,0.2179278699473809,0.5785939696528103,0.555658249094575,131,mean,150M,4543
1430,DLG4 RAT,Lasso,1,0.5716944749197062,0.1750447243159999,0.258063782199602,0.5690146533137861,0.1833074676436852,0.2705876644151619,0.6444583589696857,0.6684008928320816,71,mean,150M,1659
1431,DLG4 RAT,Lasso,2,0.5676023707453319,0.1750848168380269,0.2575516787956161,0.5573786266306981,0.1922579885429197,0.2804114649426178,0.6448948715499606,0.6512177564292256,69,mean,150M,1659
1432,DLG4 RAT,Lasso,3,0.505382801179789,0.1925085296349579,0.2838363031846613,0.4640399747891829,0.1895904305498267,0.2733987231333724,0.6083782505561711,0.5568692555301655,45,mean,150M,1659
1433,DLG4 RAT,Lasso,4,0.6018307201364856,0.1684688012645335,0.247247963699545,0.5246753893405653,0.1913737156427073,0.2902159270943377,0.6613106408748937,0.6300841814935425,74,mean,150M,1659
