,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size
0,esm1v_650M,1,-1.5543122344752194e-15,0.3312713290868755,0.3834207995529056,-0.1928955418876339,0.3072868451575906,0.3629641740067017,,,0,32
1,esm1v_650M,2,-4.218847493575595e-15,0.2645390390744488,0.3207985580024556,-1.6610572357785602,0.5152001043055398,0.5740955720643821,,,0,32
2,esm1v_650M,3,-8.881784197001252e-16,0.333106945705881,0.3896305640354768,-1.095426000531443,0.3138346655588175,0.3378581871140613,,,0,32
3,esm1v_650M,4,0.1430052287400131,0.2966681599092366,0.3456026016500092,-0.1812769125993065,0.3606177639613266,0.3939849187522394,0.6526495726495727,0.0857142857142857,2,32
4,esm1v_650M,5,0.3941831976346474,0.2597729530246958,0.3083479416293962,-0.2782850765346345,0.2582911152108357,0.3117017693180437,0.7962393162393162,-0.3714285714285715,2,32
5,esm1v_650M,1,0.870644111019053,0.1121177032660984,0.1355556202067631,-0.0625938136582027,0.3457619679702712,0.4313956393084526,0.9487107360525084,0.4661654135338345,44,100
6,esm1v_650M,2,0.6098725932164482,0.2062005864668676,0.2417008669127417,0.049163402713081,0.3408173146227329,0.4118154151665827,0.8706047819971872,0.4451127819548871,22,100
7,esm1v_650M,3,0.1704573166050228,0.3185812379233423,0.3675822472103907,0.0407775291326242,0.3294171833143424,0.3592308877383332,0.5570089076418191,0.3699248120300751,4,100
8,esm1v_650M,4,0.575985616927813,0.227837828297936,0.2669031693155533,-0.0019778385024069,0.2706994423674692,0.3371067058131101,0.8380215658696671,0.3308270676691728,19,100
9,esm1v_650M,5,0.8334310234414744,0.136128078409613,0.1639303324886049,-0.3124517954827366,0.3511792792636559,0.4111046730648224,0.93370839193624,0.3218045112781954,51,100
10,esm1v_650M,1,0.6062167375048737,0.202894919024782,0.2434185478858431,0.3541563696794184,0.2855793174233375,0.3396211546979732,0.8196641928561379,0.6440934065934065,51,320
11,esm1v_650M,2,0.65927896798731,0.1918445630775918,0.2315176408857816,0.4545416413955189,0.2353396916350509,0.2903263462128248,0.8602745516752166,0.6470238095238094,59,320
12,esm1v_650M,3,0.6585621878666466,0.192118747954091,0.2324553125408379,0.4424003929230973,0.233911071482985,0.2902334362049436,0.8475861266140353,0.7149807118223903,55,320
13,esm1v_650M,4,0.7741598874722327,0.1487220193323792,0.1877367789380737,0.3242741616260209,0.2771259418492167,0.3285534780432193,0.8952048148907699,0.6075091575091573,95,320
14,esm1v_650M,5,0.6230225488863325,0.201924111973234,0.2467297020548083,0.381166499402757,0.2413331879666441,0.2847007149890892,0.822100245372365,0.7054796873137034,54,320
15,esm1v_650M,1,0.7640583424023873,0.1514237619430569,0.1895158187671012,0.6023481621631354,0.1947618106487775,0.2415005383842264,0.8912972352974097,0.7940823520588015,189,1000
16,esm1v_650M,2,0.802568203396495,0.1367249375812061,0.1714091159455346,0.6285748339218834,0.1892878328589434,0.2440252696173614,0.9080043788822566,0.826226965509308,233,1000
17,esm1v_650M,3,0.7986158952905928,0.1408629255260743,0.1741353293285077,0.5859585103490913,0.1977843937543957,0.2519397569199685,0.9087435711637843,0.7880987024675618,235,1000
18,esm1v_650M,4,0.7908341987787285,0.1441087373528188,0.179480212708314,0.5556847566806467,0.2024350407764097,0.249015420122124,0.9027309455067531,0.7734178354458863,196,1000
19,esm1v_650M,5,0.7995901433934456,0.1389369552684837,0.173362924876953,0.6435036445695572,0.1889637079647458,0.2355361827475063,0.9083027366530544,0.8219755493887347,242,1000
20,esm1v_650M,1,0.836253598887287,0.1247895791459565,0.1580551919686827,0.7354000345035444,0.1553607358655027,0.2006590977050207,0.9288871214916204,0.8723727600463163,566,3200
21,esm1v_650M,2,0.8403630279626548,0.1228169927138797,0.1555606073650456,0.7261052861555323,0.159414044164822,0.2067330546943106,0.9281044869040967,0.8851000633889923,574,3200
22,esm1v_650M,3,0.825822990440295,0.127706113039019,0.1624467406256893,0.715396114102369,0.1638068923398429,0.2109329352220592,0.9226762255683488,0.8745450632605427,472,3200
23,esm1v_650M,4,0.8506752146885991,0.1189057167600644,0.1516241383586078,0.7181887289531805,0.1582854011349693,0.2032818024727129,0.932274148057318,0.8746632023632316,624,3200
24,esm1v_650M,5,0.8306212293572699,0.1260869096390739,0.1608986801109427,0.7315431711524718,0.1544346480857824,0.2013429155331739,0.9240581316630362,0.8642889453696961,544,3200
25,esm1v_650M,1,0.8042075185517324,0.1328963506940614,0.1721349374739665,0.7591696562691777,0.1491016657152337,0.1965779164080258,0.9159584402295096,0.8928689952846628,744,10000
26,esm1v_650M,2,0.8063753491909564,0.1332292474400006,0.1721161477056436,0.7498935280741265,0.1485823355201643,0.1960370975644455,0.9161517894699044,0.8931406262264856,749,10000
27,esm1v_650M,3,0.8025329465185513,0.1339431080076003,0.1739684442167091,0.7601253159934221,0.1480261798687756,0.1914553101837993,0.9142311558322364,0.8965665915474456,735,10000
28,esm1v_650M,4,0.8060651479717171,0.1336974091746298,0.1730345916195847,0.7520621061261821,0.1454362792858015,0.1917564109250494,0.9153289468159967,0.8903161814883833,758,10000
29,esm1v_650M,5,0.8064428055049809,0.132800946004825,0.1725741615557581,0.7517515935618411,0.1474715602342003,0.193151816713288,0.915832575201125,0.8930490969916071,765,10000
30,esm1v_650M,1,0.7865939213839855,0.1397088683873511,0.1808088503331888,0.7689011032547203,0.1431129207459415,0.1897751086477853,0.9098216592554416,0.905122303738228,723,32000
31,esm1v_650M,2,0.7880554586068464,0.1385009911009589,0.1804072112893737,0.7622663337417047,0.1467144922686004,0.1915357631809742,0.9108588140938908,0.8994175238609946,734,32000
32,esm1v_650M,3,0.7854380300138262,0.139774444355883,0.1819578374628308,0.7733028002221943,0.1432764418055749,0.1852419746544484,0.9100700299138156,0.9008252570683296,721,32000
33,esm1v_650M,4,0.786397015361986,0.1390990895869911,0.1810938718645171,0.7701138813685822,0.14506510501053,0.1884449538714849,0.909909975299288,0.9043401311686498,729,32000
34,esm1v_650M,5,0.7840856938865642,0.1400063403203468,0.1823522498256226,0.7805847524025062,0.1408906327746648,0.1829562446850244,0.9093600149340731,0.906470996066844,740,32000
35,esm1v_650M,1,0.7839355494828968,0.1399904013574084,0.1818148184792868,0.7720294267065928,0.1440062249597948,0.1877588353745118,0.9076097755327964,0.9075320833079862,724,36521
36,esm1v_650M,2,0.7847864459945681,0.1397929883171913,0.181474003891096,0.7680698602135667,0.1441330775586245,0.189308899380576,0.908946644599962,0.9021118027447164,715,36521
37,esm1v_650M,3,0.7862328075039928,0.1395904107913099,0.1811229852697126,0.7639216531531199,0.145063560492497,0.1898661617055684,0.9101156628241158,0.8945728669869372,726,36521
38,esm1v_650M,4,0.7828312448145477,0.1400018492133146,0.1825388547401484,0.7776430421756452,0.1434464210446444,0.1843321891167159,0.9079340853037996,0.906471243402464,724,36521
39,esm1v_650M,5,0.7836421606364405,0.1402795356574804,0.1823553370648022,0.7742952343422175,0.1421262874978246,0.1851129675217422,0.9085467617609612,0.903310677833216,724,36521
40,esm2_8M,1,-1.5543122344752194e-15,0.3312713290868755,0.3834207995529056,-0.1928955418876339,0.3072868451575906,0.3629641740067017,,,0,32
41,esm2_8M,2,-4.218847493575595e-15,0.2645390390744488,0.3207985580024556,-1.6610572357785602,0.5152001043055398,0.5740955720643821,,,0,32
42,esm2_8M,3,0.0504442645771818,0.3250624300411201,0.3796760894835931,-1.1098694927935764,0.3124916934391682,0.3390205932129581,0.5965811965811965,-0.0285714285714285,1,32
43,esm2_8M,4,-2.220446049250313e-15,0.3155518180524269,0.3733257248817405,-0.2384843998697083,0.373092772727183,0.4034121834075163,,,0,32
44,esm2_8M,5,-4.884981308350689e-15,0.3451970955418865,0.396159793361225,-0.0764354250115708,0.2099901006592458,0.286035145679087,,,0,32
45,esm2_8M,1,0.6040525202971653,0.2045644969971756,0.2371609696701284,-0.2768595566686898,0.4056989311993038,0.4728938596231898,0.79887482419128,0.0345864661654135,30,100
46,esm2_8M,2,0.5707065954115633,0.2125213570648498,0.2535432691591772,0.117098755266741,0.3553328197017906,0.3968311167190128,0.8139709329582748,0.4060150375939849,23,100
47,esm2_8M,3,0.3856616874701077,0.2732744099772612,0.3163289648216734,0.2287936124472432,0.2953900108832229,0.3221063662528168,0.7104313173933428,0.5548872180451127,21,100
48,esm2_8M,4,0.435033234305123,0.2681083997048504,0.3080880738649393,0.1397358740147039,0.2767884870370117,0.3123591555353373,0.7587201125175809,0.4135338345864661,21,100
49,esm2_8M,5,0.3882361579085532,0.2715935750329918,0.3141623691919579,0.145426597316892,0.2930868638194138,0.331730511810765,0.709774964838256,0.4060150375939849,19,100
50,esm2_8M,1,0.6535353402078796,0.1841832595755221,0.228325549750493,0.327406872474698,0.2981558422898592,0.3465829999864386,0.8341437010814428,0.6018772893772893,65,320
51,esm2_8M,2,0.6169354949752283,0.2018861980309888,0.2454825201311257,0.3682888499008372,0.2449995276247605,0.3124387697884224,0.8140790302124601,0.5661630036630036,58,320
52,esm2_8M,3,0.5372494869820175,0.221406360189402,0.2706182760123778,0.3854087561278408,0.2635121954381236,0.3047048720675117,0.7583419329262274,0.6673382250691916,46,320
53,esm2_8M,4,0.6850074559249375,0.1772035350785779,0.2217169820878982,0.2928717689416905,0.2810081607533393,0.3361010692853583,0.8438153910418366,0.5833333333333333,66,320
54,esm2_8M,5,0.5537669751534258,0.2235347947838825,0.2684383753320669,0.3924894082961377,0.2219584449292707,0.2820840801397111,0.7729367321386723,0.6458407262411024,40,320
55,esm2_8M,1,0.7076056712863998,0.1681892845232607,0.2109733628219358,0.5101058153502043,0.2183668371241366,0.2680511954057152,0.8587877169907406,0.7499602490062254,165,1000
56,esm2_8M,2,0.7192769322903642,0.1649728738567452,0.2043922463802195,0.5308734127231278,0.2129769591670513,0.2742484373052509,0.8610684573946363,0.7588677562693688,162,1000
57,esm2_8M,3,0.7317952450038607,0.1639030561079516,0.2009590337465752,0.4799762692207991,0.2228512944066768,0.2823490664450957,0.8736623808647244,0.7129453236330909,166,1000
58,esm2_8M,4,0.722668631882849,0.1670432252980121,0.2066668087516505,0.5256038577385616,0.2099172883287127,0.2573067676930879,0.8642036282411261,0.7314107852696319,173,1000
59,esm2_8M,5,0.7007910989487093,0.1710418140054067,0.2118282807591014,0.6160428939501686,0.1951240039295657,0.2444395300014315,0.8579205146489576,0.7992799819995501,164,1000
60,esm2_8M,1,0.7070273443037902,0.1678351817017597,0.2114153072629037,0.6298433549102744,0.1917421345090821,0.2373322401885968,0.8628468689227627,0.8156909852694507,283,3200
61,esm2_8M,2,0.699553436590032,0.1704679504692945,0.2134108569579477,0.6234863865658947,0.1925299255830759,0.242386505956981,0.8575994634138995,0.8241318976149477,265,3200
62,esm2_8M,3,0.7096702886037964,0.1672141936811826,0.2097303725110627,0.6271285564810918,0.1877570166186752,0.2414368439296911,0.8616799232657913,0.8292858507568778,287,3200
63,esm2_8M,4,0.7042400206063131,0.1693848512192809,0.2133890352988899,0.6181319984003372,0.1886928669232706,0.2366333531089138,0.8612451393526548,0.8182332688716588,268,3200
64,esm2_8M,5,0.7044485645852612,0.1702120245285306,0.2125394389212277,0.6185907759225178,0.1885713807964097,0.239990870580108,0.8615518504847066,0.8074879522305951,274,3200
65,esm2_8M,1,0.6674660315221428,0.17588124928423,0.2243308637076277,0.6541165856955631,0.1842220876923023,0.2355830246808338,0.8458396453407259,0.8439307427630374,293,10000
66,esm2_8M,2,0.6744069079083775,0.1748039166535756,0.2231921339241762,0.6266039074930085,0.1866592309511961,0.2395304240648442,0.8503780000691465,0.8241066016114483,297,10000
67,esm2_8M,3,0.6680416789838766,0.1766960254587716,0.225561480447881,0.6469652714422253,0.1827268773020396,0.2322650815607201,0.8464713101856766,0.8386946396488355,287,10000
68,esm2_8M,4,0.6716552045057889,0.1761720154260331,0.2251490242350092,0.6413035365408749,0.1796776435567764,0.230643906906363,0.8483420393133501,0.8324479755020179,292,10000
69,esm2_8M,5,0.6690526436987545,0.1765158484253565,0.225657914866928,0.6462560983888233,0.1822361434808927,0.2305685367437099,0.8486526178080648,0.8309827092419818,291,10000
70,esm2_8M,1,0.6626744018274944,0.1785692410314209,0.2273217242404048,0.649089861347645,0.1823158326327161,0.2338504827359056,0.8449362441379503,0.843173856590756,284,32000
71,esm2_8M,2,0.6632772913716207,0.1784368283362299,0.2273939880943199,0.6439053088967572,0.1834062567368108,0.2344160167201158,0.8456925834856611,0.8396997834202573,289,32000
