,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size,Dataset,ModelSize
0,esm1v,1,0.6766376496379695,0.530215978716947,0.6316635971425998,-0.540405653048478,1.1106452850979611,1.3010453157273918,0.8353846153846154,0.2857142857142857,10,32,BLAT_ECOLX_2015,650M
1,esm1v,2,0.9854538094148476,0.1154153487634771,0.1412770718513392,-1.335611158508212,1.0064189443757412,1.3279965837029115,0.9730769230769232,0.0,24,32,BLAT_ECOLX_2015,650M
2,esm1v,3,0.7757466978097454,0.4517953707024963,0.543608761823792,0.569934476304552,0.4321066074836603,0.64713197616117,0.8953846153846153,0.942857142857143,12,32,BLAT_ECOLX_2015,650M
3,esm1v,4,-2.220446049250313e-15,0.9356652423076924,1.0401199974104078,-0.0001398175350861,1.286014020255595,1.4221270892547109,,,0,32,BLAT_ECOLX_2015,650M
4,esm1v,5,0.9936609739680984,0.0715093882736094,0.0896302396780472,-0.1672531311910428,1.0413922992621054,1.190601442907998,0.9685470085470086,0.4857142857142857,29,32,BLAT_ECOLX_2015,650M
5,esm1v,1,0.303396038941824,0.766305698050195,0.8630626504874385,-0.2579546169507625,1.2355270364556152,1.373933759099501,0.6475386779184247,-0.1578947368421052,7,100,BLAT_ECOLX_2015,650M
6,esm1v,2,0.7551744491079435,0.4581157403295689,0.557196132055039,0.0636650585440679,0.8792429511468673,0.9821808986932066,0.8468823253633382,0.4270676691729323,30,100,BLAT_ECOLX_2015,650M
7,esm1v,3,0.4672403961851868,0.7344301018946917,0.8272680630825551,0.075105305205506,0.808325118204692,0.931750170734793,0.7347398030942335,0.3278195488721804,17,100,BLAT_ECOLX_2015,650M
8,esm1v,4,0.330972512241813,0.7858562046112423,0.8807975648560021,0.0209668840394424,1.0807378609045943,1.1243873154866704,0.6942803563056728,0.2661654135338345,18,100,BLAT_ECOLX_2015,650M
9,esm1v,5,0.6373817952609777,0.586526256919323,0.6853142977094084,-0.1058143290958628,0.8225433855766511,1.009851292435204,0.7540787623066104,0.2616541353383458,16,100,BLAT_ECOLX_2015,650M
10,esm1v,1,0.7223828785332969,0.5118832910096074,0.6282554878134088,0.40503284408794,0.6952453041357174,0.8981872498582681,0.8519231467303771,0.577106227106227,69,320,BLAT_ECOLX_2015,650M
11,esm1v,2,0.6126085479253646,0.6048007723791881,0.7283124813101852,0.4411103542840242,0.8106843649544726,0.9299907337014626,0.7938180922797985,0.6833791208791208,50,320,BLAT_ECOLX_2015,650M
12,esm1v,3,0.6121824493440176,0.6272925989172816,0.7401704013406338,0.3843595731322937,0.7801201318832236,0.91798576830619,0.801087063034554,0.6534340659340658,41,320,BLAT_ECOLX_2015,650M
13,esm1v,4,0.6604134695166286,0.5783445938170428,0.7020235150425376,0.4339564525337086,0.7015129194975325,0.8370830487010166,0.8199965810231704,0.6663461538461538,53,320,BLAT_ECOLX_2015,650M
14,esm1v,5,0.6434045410038384,0.5886346123545703,0.703246908372128,0.5280429258816846,0.6735887572239628,0.8376987454529133,0.8081942392771356,0.7553113553113552,59,320,BLAT_ECOLX_2015,650M
15,esm1v,1,0.8164369746069574,0.392368141747402,0.4973652188522908,0.6476643091861578,0.5267614721160945,0.6737441982130565,0.8931555002221355,0.7872567266394939,237,1000,BLAT_ECOLX_2015,650M
16,esm1v,2,0.7950265593993957,0.4186016745675862,0.5240945116593307,0.5759404061447415,0.6132107119577213,0.7485345295334349,0.8815228235623914,0.7675323165594982,221,1000,BLAT_ECOLX_2015,650M
