,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,Dataset
0,Lasso,1,0.8487941967863839,0.3520449488416362,0.4470666152188433,0.7833499491253698,0.4224541322079824,0.5434790554851571,0.910386138376001,0.8711332242851129,861,mean,BLAT_Ran
1,Lasso,2,0.848814232929757,0.3524237276201142,0.4480372855511665,0.7605447632940443,0.4398284105331404,0.5598931055943799,0.9106176632362138,0.8721801176527937,854,mean,BLAT_Ran
2,Lasso,3,0.8514397808585512,0.350520984467994,0.4446165860411069,0.7589846010338435,0.4415538892556356,0.5563026538600158,0.9109817094564824,0.8737615314829603,856,mean,BLAT_Ran
3,Lasso,4,0.8510230788174636,0.35036207270636,0.4452742276235072,0.7537648979156429,0.4325690664717068,0.5618414551045079,0.9109200256567884,0.8717592433150452,851,mean,BLAT_Ran
4,Lasso,5,0.8483719795638844,0.35165929357892,0.4475392742474666,0.7715794385890349,0.435400613029663,0.5592104933653167,0.9108795523968748,0.8743584293721307,857,mean,BLAT_Ran
5,Lasso,6,0.8483965453988924,0.3547528290358409,0.448998349536205,0.7739085587395513,0.4169741676840087,0.5404077204109952,0.9093743124969044,0.8806368665474662,867,mean,BLAT_Ran
6,Lasso,7,0.8503594690893934,0.3511888176620131,0.4466523057106379,0.7416821485299839,0.450513466865828,0.5695932446239855,0.9109438151174468,0.8583711726675322,898,mean,BLAT_Ran
7,Lasso,8,0.849802524958089,0.3506484850789293,0.4460887286954684,0.7475867734972177,0.4631630563992631,0.5807662841866007,0.91019212771017,0.865355951938189,879,mean,BLAT_Ran
8,Lasso,9,0.8488530977807067,0.3515707478043139,0.446632675850504,0.7695873484763887,0.437977720445966,0.5633085027920847,0.9111656085940214,0.8643757066846491,851,mean,BLAT_Ran
9,Lasso,10,0.8505472538135264,0.348481274941243,0.4442327338830685,0.7503017865777379,0.464974244794696,0.5860591631979205,0.9112042788601707,0.869335559536798,874,mean,BLAT_Ran
0,Lasso,1,0.8426286454436402,0.3613117625914707,0.4560903166989116,0.7666855597404263,0.4428069686078542,0.5639936622775319,0.9075921350942312,0.8641605185372145,891,iDCT,BLAT_Ran
1,Lasso,2,0.8433900612645318,0.360517160415983,0.456003696655039,0.7470557080175482,0.4607991789068953,0.5754470815747121,0.9074575165202656,0.8668703362862334,881,iDCT,BLAT_Ran
2,Lasso,3,0.8455045007475689,0.3583608240091904,0.4534112692398697,0.7333060833716079,0.4630900409495917,0.5851878368964877,0.9073098544369232,0.8538211382929725,901,iDCT,BLAT_Ran
3,Lasso,4,0.8446040895185375,0.3604543938785202,0.4547658602721985,0.7414559011945763,0.4454363708596732,0.5757131017662909,0.9081687851766532,0.8548767936039827,886,iDCT,BLAT_Ran
4,Lasso,5,0.8411139718528483,0.3614300918318062,0.4581252985588939,0.7744223854598915,0.4402177659267138,0.5557196003805762,0.9072624904410128,0.8714154413176517,891,iDCT,BLAT_Ran
5,Lasso,6,0.8444682941139072,0.3599834023720853,0.4547782262072495,0.7463684633512662,0.4463345228619909,0.5723755978108315,0.9069930601911476,0.8606750267001068,893,iDCT,BLAT_Ran
6,Lasso,7,0.8429952736236395,0.3623236578882454,0.457510771303468,0.7535107411764363,0.4394334305605815,0.5563993570585604,0.907812077771039,0.8522645979251179,910,iDCT,BLAT_Ran
7,Lasso,8,0.8446081312573603,0.3587956096351971,0.4537368784561375,0.7295650622125617,0.4752542983776602,0.6011415415491421,0.907772279926436,0.8570056601883962,928,iDCT,BLAT_Ran
8,Lasso,9,0.8429581832849801,0.3613742793985847,0.4552589821664036,0.7475979179607992,0.4583159552046836,0.5895757503084481,0.9078054383149043,0.8572333238123058,892,iDCT,BLAT_Ran
9,Lasso,10,0.8430591284762639,0.3603471187566358,0.455225558255312,0.7504031834468776,0.4594703123547968,0.585940158345149,0.906662796418019,0.8688459055181668,899,iDCT,BLAT_Ran
0,Lasso,1,0.8452780882729672,0.3586611372067173,0.4522347406099145,0.7616571337820419,0.4591312026249459,0.5700388997181377,0.907578013222265,0.8585679154690138,932,iDCT2,BLAT_Ran
