,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
0,DLG4_RAT_Ranganathan2012,Lasso,1,0.83642345436116,0.1158048916280647,0.1604044285337047,0.5060032217837129,0.2016669112336951,0.2879590304277295,0.7743563395577266,0.5006342189662297,498,rbf2
1,DLG4_RAT_Ranganathan2012,Lasso,2,0.8382171119838415,0.1166144150769921,0.1593205026881137,0.5209958882387766,0.2063302701950596,0.2853777776302108,0.7607264245308705,0.6156490828173317,505,rbf2
2,DLG4_RAT_Ranganathan2012,Lasso,3,0.8496045430464884,0.1137021410469871,0.1531884305626702,0.3511658220111981,0.2240532890877808,0.3392190767245118,0.7661967933428816,0.6216975473106329,502,rbf2
3,DLG4_RAT_Ranganathan2012,Lasso,4,0.8328912537409042,0.1181045337948295,0.1616299202777529,0.6228053967066034,0.1851797942856423,0.2583699338188678,0.7664461361664403,0.6490418827462899,511,rbf2
4,DLG4_RAT_Ranganathan2012,Lasso,5,0.8365981260340944,0.1184517968557495,0.161842416851647,0.5386387778094811,0.1876675362878675,0.2544292239683277,0.764517321345676,0.5096577009535408,505,rbf2
5,DLG4_RAT_Ranganathan2012,Lasso,6,0.8403341678271667,0.1163423510049641,0.1600850415099773,0.50081211937191,0.1877008783319266,0.2630465797292003,0.7783379004040324,0.5411136617155801,501,rbf2
6,DLG4_RAT_Ranganathan2012,Lasso,7,0.8318503258098421,0.117038163912106,0.161149884183984,0.6084004725732434,0.1905322425735795,0.2742513586481389,0.7657187284538937,0.6867566599748434,497,rbf2
7,DLG4_RAT_Ranganathan2012,Lasso,8,0.8358638630762235,0.1170470969745103,0.1610569008173121,0.5859117616242833,0.1840456507993951,0.258705778882202,0.7638596924277068,0.6477625253326863,510,rbf2
8,DLG4_RAT_Ranganathan2012,Lasso,9,0.8409159087151103,0.1176605063923111,0.1621830882468477,0.3299230793444618,0.1770139817693816,0.2510588980199725,0.7719435752592895,0.658224809539067,494,rbf2
9,DLG4_RAT_Ranganathan2012,Lasso,10,0.8283287283435984,0.1190301633086465,0.1650458569684031,0.648928734938284,0.1643593079156309,0.2337249342294973,0.764349763235481,0.6309570639257305,497,rbf2
0,DLG4_RAT_Ranganathan2012,Lasso,1,0.8180633667188203,0.1206597116760171,0.16916710413846,0.6848156645981986,0.1597926917343679,0.230012244991264,0.7755738062678276,0.6120863913846684,372,bos
1,DLG4_RAT_Ranganathan2012,Lasso,2,0.816822360058653,0.1197941942557974,0.1695280652968332,0.6494763850921093,0.175222610379145,0.2441232661612372,0.7644540274608586,0.7626735336639163,370,bos
2,DLG4_RAT_Ranganathan2012,Lasso,3,0.8316934033273247,0.1165250399171861,0.1620537842685984,0.5010486823712821,0.191201270523373,0.2974695355265179,0.7657703621730729,0.7484028462606483,376,bos
3,DLG4_RAT_Ranganathan2012,Lasso,4,0.8143070646787036,0.1213586208611852,0.1703804884433622,0.7171350660793137,0.1577140445606705,0.2237426589533754,0.7680688297624308,0.6794823109466517,382,bos
4,DLG4_RAT_Ranganathan2012,Lasso,5,0.8220640121729632,0.1204097811490847,0.168886811178674,0.5743414168099428,0.1735469544021746,0.2443864632960727,0.7799711368071649,0.5422081766277478,386,bos
5,DLG4_RAT_Ranganathan2012,Lasso,6,0.8247063381421365,0.1200825766047039,0.1677366114240136,0.6028936463165939,0.1678031676315767,0.234614073850038,0.7717984239138939,0.5997179566699448,391,bos
6,DLG4_RAT_Ranganathan2012,Lasso,7,0.816431202544087,0.1191309636140954,0.1683764753392281,0.6343510544605169,0.1877361031131192,0.2650085408820358,0.7672618563718123,0.7035708032891885,372,bos
7,DLG4_RAT_Ranganathan2012,Lasso,8,0.8204269406539878,0.1206418936304775,0.1684603989197034,0.6665232882990353,0.1611391362355795,0.2321626955768793,0.7718797405199017,0.6950556677844271,382,bos
8,DLG4_RAT_Ranganathan2012,Lasso,9,0.8283658075939051,0.1200221435594465,0.1684589523770349,0.3896473132876263,0.1660067194393079,0.239609326604638,0.7801065956215367,0.6262936587596345,374,bos
9,DLG4_RAT_Ranganathan2012,Lasso,10,0.8135303271801756,0.1223526978977339,0.1720124649309545,0.71108889971585,0.1546321816490945,0.2120261943351465,0.7705235823111832,0.6815334187617034,385,bos
0,DLG4_RAT_Ranganathan2012,Lasso,1,0.8335440487199594,0.1174099781595572,0.1618100535284669,0.5582991659823471,0.1997076927439862,0.2722906658818367,0.7750570726993419,0.5301995331569328,522,pca1
1,DLG4_RAT_Ranganathan2012,Lasso,2,0.8359189193802783,0.117241964714141,0.1604481189487246,0.5141565136909776,0.2126787907612279,0.2874079143603059,0.7607379604349812,0.603814545959641,517,pca1
2,DLG4_RAT_Ranganathan2012,Lasso,3,0.8476081425923885,0.1138613252612643,0.1542018163107688,0.404155012087104,0.2196151354524801,0.3250723670883022,0.7697647422915121,0.6401155706190339,530,pca1
3,DLG4_RAT_Ranganathan2012,Lasso,4,0.8357454506163652,0.1165251588443598,0.1602436659208514,0.5457236481561554,0.2032259807734515,0.2835432437871015,0.7671078747999364,0.6213041308211624,507,pca1
