,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size
0,150M,1,0.6198950949659134,0.2281285331248392,0.2632048216750682,-0.6016186161423667,0.4694602105750969,0.5873753561922312,0.7846499193192846,0.07881104062391,9,32
1,150M,2,0.0,0.4300866131901441,0.4499118270202449,-0.0459651142163379,0.4182396786262799,0.4376284784424005,,,0,32
2,150M,3,0.0,0.4307490436642899,0.4523454338454871,-0.0008437195791157,0.3835740037764743,0.4219799172031425,,,0,32
3,150M,4,0.0,0.4274609586144971,0.4448312954200319,-0.2044630204392235,0.4485420924625512,0.4626722409794845,,,0,32
4,150M,5,0.9998990368731788,0.0033314648125594,0.0045609431073196,-4.403215949166778,0.8082849489396623,0.9635384790009364,0.9778758951722418,-0.7247137945655605,556,32
0,150M,1,0.3773306658986428,0.2954609207939246,0.3471139591986132,0.286360572796929,0.3110547947976939,0.3856012765987147,0.5988166041666843,0.5242370771130193,4,100
1,150M,2,0.314933616549216,0.3245905215449144,0.3698315849340474,0.2909535866102366,0.3101693966791325,0.3609585685055368,0.5176868678236753,0.7045656730883408,4,100
2,150M,3,0.31941650616086,0.3296506649265134,0.3716869177795886,0.2480158709878928,0.2965193675665313,0.3552129493971577,0.5915010944888801,0.3811347891502029,4,100
3,150M,4,0.4143630413487948,0.2843264685816323,0.3373930175247792,0.2610084222894633,0.3549643661418403,0.3890297149703109,0.6507650520062958,0.3893679453557453,7,100
4,150M,5,0.3791679751123965,0.287167398228849,0.3448748350419353,0.3344458036016507,0.3254002979675297,0.3767482237747519,0.6004506842040646,0.4885922581086673,5,100
0,150M,1,0.7588807005135652,0.1808297689969328,0.2270090398678677,0.5108948522414422,0.2446688550794116,0.3189236424728414,0.8172319557431184,0.6695563048224471,68,320
1,150M,2,0.7688555755620203,0.1761594778685414,0.2231538111933484,0.4702462428822866,0.2614778996223635,0.3282194402938261,0.8119214853106451,0.6536873273902162,75,320
2,150M,3,0.6710324825336798,0.2114996741557613,0.2658617506011141,0.3439915962709143,0.2976592177495497,0.3575648884547301,0.7712629683868811,0.4952152095642222,51,320
3,150M,4,0.6687202706248545,0.2090823744290795,0.2624200933580449,0.4811777902645127,0.2587825742221435,0.3339622210094946,0.7399192123585578,0.7532805953589643,51,320
4,150M,5,0.760245781089975,0.177709884297612,0.225328293551066,0.5735014819066326,0.2390724376665172,0.304342940695658,0.7951602832016387,0.7275644046472128,91,320
0,150M,1,0.8129340156730473,0.1518389012891818,0.1945945079098048,0.5824012539050304,0.2042412412505492,0.2954976241847584,0.8274579002303043,0.7625178623041972,223,1000
1,150M,2,0.7631814849783655,0.1717052972613676,0.2199894841143677,0.6179880615115572,0.2127677104062872,0.2773075718913145,0.8061198467965429,0.7557311496127279,142,1000
2,150M,3,0.7657818602442628,0.1681269648249153,0.2195902868191951,0.5882783235749789,0.2106104768176159,0.2804949703188085,0.8171329789425824,0.7014567600431777,159,1000
3,150M,4,0.7728924287672922,0.1660895811214265,0.215405885583181,0.7179588358967335,0.1908561022096735,0.2381018477366888,0.8073037993436681,0.7918735575131912,178,1000
4,150M,5,0.785975553213814,0.1582768874739116,0.2079423080953499,0.5686132680982077,0.2396119081007302,0.3001003714440314,0.8074069750971138,0.7428400297142648,166,1000
0,150M,1,0.7767471799218559,0.1650382400157923,0.2141288212780862,0.6696079505175117,0.1919175618488898,0.2559586147066509,0.8207735234291481,0.7850409979846039,341,3200
1,150M,2,0.7703544602984057,0.1675133622359073,0.2161800991466683,0.7148512962847945,0.1884304569780274,0.2422355229354978,0.8175589367210332,0.8040288289062738,332,3200
2,150M,3,0.7704223291483632,0.1689403885985887,0.2164263998491579,0.713153020201599,0.187662328219883,0.2417528732634866,0.8213996769273176,0.7966852770483976,308,3200
3,150M,4,0.7784992818623544,0.164936413040151,0.2126860093699984,0.6929867403583599,0.1890968193397638,0.2496704486164189,0.825635811184357,0.7739131383640583,362,3200
4,150M,5,0.7637443874731642,0.1696633095702902,0.2188732205404865,0.7345029894837243,0.1863825685048322,0.2353056324165242,0.8136292681082335,0.8138068033611968,299,3200
0,150M,1,0.7440011719701558,0.1756587016215118,0.2267529342916413,0.7023698932415294,0.1865696893329438,0.247223454352713,0.8150270572346399,0.7942523634970868,321,10000
1,150M,2,0.7379600385424141,0.1775699815591203,0.2300668535551439,0.7212281742237261,0.1828742966635697,0.2366818067501954,0.8119549515059372,0.8088663533808614,327,10000
2,150M,3,0.7416777782178905,0.1761522627708543,0.2283913196792759,0.703960942058939,0.1892106057009615,0.2440759976621448,0.8150671506984952,0.8071058417949534,328,10000
3,150M,4,0.736187570328596,0.1779128405503398,0.2302347811571254,0.7222753054688864,0.1819052922483349,0.2386033388668637,0.810421249134523,0.816949572391297,312,10000
4,150M,5,0.7396348758991084,0.1779747200850243,0.2300372811073747,0.7190311794172384,0.1806220336456744,0.2344985283724782,0.81592097175859,0.7931655516405329,332,10000
0,150M,1,0.7300934012995948,0.1800492975444018,0.2326896891494502,0.7145171861129493,0.1844963332494081,0.2411489018206727,0.8098399645856166,0.8104161996610916,318,32000
1,150M,2,0.7294215424087322,0.1805813077523553,0.2338081655102324,0.7182424036074708,0.183932783011798,0.2361137029746571,0.8104804815868754,0.8029631705216815,315,32000
2,150M,3,0.7302582415671008,0.1802841554518058,0.2330570542530089,0.7143799177180739,0.1852802688122474,0.2394474430965325,0.8113919370524707,0.801064402905238,321,32000
3,150M,4,0.7275457805776735,0.1814214194384052,0.2339969574834706,0.7284148627446837,0.1804955471074247,0.2344042568791157,0.8097642910956293,0.8144852070781748,327,32000
4,150M,5,0.7266313677664119,0.1812673988511999,0.2345372255159878,0.7182372823691922,0.1815153243120364,0.2381560126788149,0.8099090886715593,0.8061663094514907,310,32000
0,150M,1,0.7208417733890187,0.1827331211454315,0.2371934416360676,0.7167197618763179,0.1836109991215949,0.2383427208562752,0.8074087322400074,0.8033622337228427,300,100000
1,150M,2,0.7209077686281617,0.1828989720212838,0.2371444189850667,0.7171178611835544,0.1837486633867486,0.2382655845511233,0.8073476086025282,0.8041947520819577,309,100000
2,150M,3,0.7211918682465362,0.1828426695148536,0.2368578276475421,0.7133485100069146,0.1837106509796328,0.2405218509850216,0.8069442213002642,0.804719011403251,295,100000
3,150M,4,0.7209648551032255,0.1828672943155259,0.237080932986041,0.7181148405141382,0.1832866860473368,0.2380066151470849,0.8059854762488465,0.8113657042499309,297,100000
4,150M,5,0.7195842060062672,0.1830285982926114,0.2374116223573107,0.7229332805142747,0.183398916120491,0.2369668103285904,0.8073517593905943,0.8065766994628742,304,100000
0,150M,1,0.7223301692813513,0.1819873365189402,0.2364780485832908,0.7238307582405029,0.1822123213129348,0.236143573318483,0.8071963395584603,0.8090648549656451,322,320000
1,150M,2,0.7229040532753975,0.182019778905675,0.2363627093906052,0.7217674091627829,0.1819633309695742,0.2365082900198858,0.8077793036888622,0.8061035639746965,327,320000
2,150M,3,0.7231248225800269,0.1818789517018242,0.236237170349694,0.7212212266010608,0.1819716307789965,0.2368685263383878,0.8080592478641003,0.8043751544829219,316,320000
3,150M,4,0.7231505201561028,0.1817657701111491,0.2361381525158888,0.7193396677430537,0.1825911089965019,0.2380203907965965,0.8072512531679631,0.809132306840544,330,320000
4,150M,5,0.7225473970865128,0.1819729672588221,0.236458692937909,0.7227153905005239,0.1819860498110806,0.2363302235134149,0.807667221438897,0.8075673118135238,326,320000
0,150M,1,0.7228464191196761,0.1820975893047101,0.2364688013895169,0.7212182556706028,0.1818442280257962,0.2367303001221126,0.8086362322865362,0.8056100627497728,326,496137
1,150M,2,0.7232775583363693,0.1819893089868117,0.2363132145492661,0.7208342006846027,0.1819926217758732,0.236776590018314,0.8086583466728099,0.8064839679834382,323,496137
2,150M,3,0.7231502162702677,0.1817895412023918,0.236182347983001,0.7218679550001954,0.1825706398363411,0.2370801141792434,0.807595618479431,0.8101633837183833,322,496137
3,150M,4,0.7224429264930667,0.1819205555651973,0.2364740016186599,0.7245196351842371,0.1821221565581013,0.2359906522177005,0.8079141078405964,0.8089812648243001,328,496137
4,150M,5,0.7227488063562076,0.1819990743227538,0.2363766589859139,0.7224115399458511,0.1820105673454951,0.2367609077048205,0.8081172621958945,0.8085289894995303,327,496137
0,650M,1,0.0,0.3855840985516161,0.4269156778464864,-0.2749838330615717,0.4933964224682,0.5240690427618511,,,0,32
