,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test
0,RL401_YEAST_Bolon2014,mean,150M,1,83,0.6043572682767187,0.185046596500101,0.2589084137401245,0.7220446537057241,0.5715056767344759,0.1846275567717668,0.2498091238321269,0.7308742199818345
1,RL401_YEAST_Bolon2014,mean,150M,2,190,0.7750751054658523,0.1391495643447085,0.1942419417577298,0.7734336751001669,0.608409266536265,0.1598349130735164,0.2436865023779709,0.66151308254413
2,RL401_YEAST_Bolon2014,mean,150M,3,88,0.6256540471549438,0.1773771312819852,0.2490011974042604,0.7299800964422277,0.5244480675820538,0.2049369099165089,0.2767597831593014,0.6896892468178558
3,RL401_YEAST_Bolon2014,mean,150M,4,85,0.6119365909576892,0.1784662236579619,0.248487936557702,0.7308205193673831,0.5351646529994242,0.2086329698396477,0.2948080524575802,0.6758837802808357
4,RL401_YEAST_Bolon2014,mean,150M,5,79,0.5796641600666241,0.1871251839492794,0.2605907428399086,0.7146909438101962,0.5820157401207909,0.2003893934185081,0.2715655594320134,0.741424005092535
0,BLAT_ECOLX_Ranganathan2015,mean,650M,1,75,0.5267753561905514,0.663097927385527,0.7913140320434006,0.7500544962934753,0.514718643983404,0.6686807291678252,0.8052841719800415,0.7419050508651472
1,BLAT_ECOLX_Ranganathan2015,mean,650M,2,196,0.6685076705324955,0.5398568981596159,0.6657565271343368,0.828519620115421,0.6179660548652915,0.5743057987180937,0.6997832098552748,0.8050709793163752
2,BLAT_ECOLX_Ranganathan2015,mean,650M,3,80,0.5397717873832624,0.6499143348238294,0.7806519573311121,0.7559513389549988,0.5238523081911274,0.6538423204761248,0.7967271550731518,0.7491389189531894
3,BLAT_ECOLX_Ranganathan2015,mean,650M,4,70,0.5277411989172306,0.6604402356471822,0.7933797441420557,0.7491310840875045,0.5058937536611371,0.6807218968813794,0.8006668167961009,0.7372676005023633
4,BLAT_ECOLX_Ranganathan2015,mean,650M,5,192,0.6640321219015347,0.541040505562012,0.6640660807889734,0.8275382068328289,0.6373597619850926,0.573750353330334,0.706659791163993,0.8096358853961901
0,RL401_YEAST_Bolon2014,mean,8M,1,17,0.2974109944614715,0.2675015641702176,0.3450207721264602,0.5109307805509352,0.277294710435081,0.2591445783538685,0.3244265412338605,0.5078880064649353
1,RL401_YEAST_Bolon2014,mean,8M,2,17,0.3009520900663981,0.269581812920263,0.3424346623323233,0.522070290886779,0.2321301643135107,0.2573405630995588,0.3412393258068348,0.4636219577009395
2,RL401_YEAST_Bolon2014,mean,8M,3,13,0.2768286749850424,0.2710024508376986,0.3460871408950337,0.5076405328076317,0.2761017467701978,0.2658552786863639,0.341462307323616,0.4964845388097484
3,RL401_YEAST_Bolon2014,mean,8M,4,20,0.3168781514783695,0.2555648391348559,0.3296879319544308,0.5200471808066307,0.2850368944985756,0.2830260544786885,0.3656213810867864,0.5005252823890941
4,RL401_YEAST_Bolon2014,mean,8M,5,21,0.3004478071853643,0.2594785868690611,0.336179195971956,0.5100432218240588,0.3130786367300985,0.2745474989821271,0.3481354416779804,0.4989190263640805
0,IF1_ECOLI,mean,15B,1,118,0.6077966863064409,0.1299564381640889,0.1786145825889131,0.6688332142900196,0.4912729543374043,0.1387161991676625,0.1899979021114181,0.6285910905009817
1,IF1_ECOLI,mean,15B,2,110,0.592434197721129,0.1284662710880705,0.1792407350197346,0.6758431965784291,0.5704820341616965,0.1353652941074005,0.186858409942966,0.595175141898193
2,IF1_ECOLI,mean,15B,3,131,0.6346963360087405,0.1185693952052942,0.1665323797942955,0.6999510046394226,0.5403282682223352,0.1506981773046936,0.205732908103173,0.6112186951342169
3,IF1_ECOLI,mean,15B,4,94,0.5439099774605061,0.1382615615712973,0.1920416569564423,0.6444076571022345,0.4606811968850685,0.1375546666943995,0.198613865291878,0.6464806004684694
4,IF1_ECOLI,mean,15B,5,150,0.6358516701536935,0.1222115210291887,0.1702443372547234,0.693596444407312,0.5565783790192601,0.1346923802635074,0.1861607311307281,0.660405990404866
0,PABP_YEAST_Fields2013_doubles,mean,8M,1,283,0.6597119991614091,0.1795925473865531,0.2285430988744809,0.8443445845065617,0.6544791141988922,0.1795169138198011,0.229654559860787,0.8408934898151793
1,PABP_YEAST_Fields2013_doubles,mean,8M,2,284,0.6602753371048801,0.1789309577762885,0.2279488148530737,0.8449118599324222,0.6514657139931779,0.181841302161031,0.2322245783506923,0.8369014955466236
2,PABP_YEAST_Fields2013_doubles,mean,8M,3,290,0.658861809054683,0.179244857769338,0.2281541157788002,0.8427234909635646,0.6573311035924079,0.1807797047351647,0.2313750355037148,0.8449312398953587
3,PABP_YEAST_Fields2013_doubles,mean,8M,4,282,0.6589395335953653,0.1794811045419642,0.2290786642083474,0.8424673497775998,0.6561160092433794,0.180126106850617,0.2279623032387649,0.8449014644036973
