,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test
0,PCP_Isoelectric_point,mean,8M,1,287,0.7994598471746174,0.5959821863608393,0.7673670209035395,0.9106910353889464,0.7910053898084113,0.6025213384309512,0.7791342487953296,0.9077709231886492
1,PCP_Isoelectric_point,mean,8M,2,288,0.7998376824041925,0.5938783956823458,0.7641844137216235,0.9123291583681222,0.7909577947149317,0.6072892381488338,0.7892964672073138,0.9085566553130614
2,PCP_Isoelectric_point,mean,8M,3,294,0.7991761366448656,0.5957715322993453,0.7675535197828125,0.9103676711196612,0.7934967026307017,0.6041557464657196,0.7758670195887721,0.913349473477128
3,PCP_Isoelectric_point,mean,8M,4,297,0.8007301316989666,0.5930096088937575,0.7629371806303458,0.9130668075328864,0.7871726394240981,0.6104670856665866,0.7944713703403653,0.9046617271430716
4,PCP_Isoelectric_point,mean,8M,5,288,0.7987193435233783,0.5970303567216292,0.7694935207218029,0.9114880978902086,0.7937213630345059,0.6029819501770296,0.7709942920326109,0.9052704902538274
0,PCP_Charge,mean,15B,1,2869,0.8612179996389371,2.0580550353100824,2.917709684779607,0.940578131791722,0.815957419609628,2.449100523620221,3.4022504991656177,0.9195606680408092
1,PCP_Charge,mean,15B,2,3177,0.8690946479938331,2.030586109126414,2.838002617775001,0.9419848691798932,0.8097599553886441,2.443952033396859,3.438954358440305,0.9172303102453772
2,PCP_Charge,mean,15B,3,2989,0.865426398439032,2.0549727270370264,2.8812888722089967,0.940865141586406,0.8075069230761465,2.431408482177879,3.440642614982308,0.9187428505983531
3,PCP_Charge,mean,15B,4,3140,0.8675983049793644,2.0399439930777006,2.854631350896246,0.9415143921313016,0.8119153578555355,2.439659017555051,3.4172146252532114,0.9171687773099226
4,PCP_Charge,mean,15B,5,3149,0.8675447414931805,2.0446196686308884,2.869523884955063,0.9414443655500564,0.8100845899140894,2.4459258951347964,3.3632562640160386,0.9151285704366662
0,PCP_Instability_index,mean,650M,1,793,0.5635055289353927,5.562759951578535,7.261945871534438,0.7236067965480063,0.5012811951398615,5.951268906880227,7.86864071686467,0.7003283902833609
1,PCP_Instability_index,mean,650M,2,771,0.5585997881629232,5.5840214723714965,7.300051877935211,0.7246538575537481,0.5202854905072891,5.895434413076552,7.727043493019597,0.6915001772316189
2,PCP_Instability_index,mean,650M,3,752,0.5570763430042449,5.600253094300284,7.308186546292476,0.7224340909925324,0.5237591779050654,5.878732983686041,7.717984027920928,0.6965246384503548
3,PCP_Instability_index,mean,650M,4,781,0.5598646497664858,5.580197277023846,7.303110757688613,0.724787210762493,0.52467712628589,5.838731258376703,7.635439957813688,0.69611182500058
4,PCP_Instability_index,mean,650M,5,767,0.5643159690460067,5.617006385931559,7.353281303380404,0.7264336439447894,0.4976216306420942,5.730819724771723,7.467506833139938,0.6820802713153088
0,PCP_AAfreq_Cys,mean,8M,1,287,0.8774624250193204,0.0041617046260554,0.0057035696631625,0.8700178879188077,0.8692506066191283,0.0042959211728875,0.0059140536537573,0.8656550932340209
1,PCP_AAfreq_Cys,mean,8M,2,293,0.8791450657559793,0.0041766882515926,0.005729918917159,0.8688527617901821,0.8621115871286897,0.0042661041118755,0.0057856030966839,0.8672288894223271
2,PCP_AAfreq_Cys,mean,8M,3,296,0.8752071795072872,0.0041701338470093,0.0056831079287776,0.8707938369069089,0.8788883600920223,0.0042609057290401,0.0059685460983662,0.8647042792760896
3,PCP_AAfreq_Cys,mean,8M,4,297,0.878811484168925,0.0042122328259327,0.0057694721581206,0.869727810800468,0.8628167363014687,0.004167679293721,0.005621770345565,0.8578211909878026
