,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test
0,SS_H,mean,esm1v_650M,1,938,0.9272618983734,0.037465262358376,0.0528008364263208,0.9560118879888332,0.9196862201333692,0.038999412838017,0.0547641196197844,0.9507689902259928
1,SS_H,mean,esm1v_650M,2,949,0.9276649210841236,0.037322361306271,0.0526167648815432,0.956156553050499,0.9190496338122984,0.0394240454597432,0.0551361333235518,0.9504595549521718
2,SS_H,mean,esm1v_650M,3,960,0.9283094488357287,0.037107357759801,0.0520938913744763,0.9563236816548574,0.9161196163763828,0.0404345752490204,0.0573685790574345,0.9512541672504968
3,SS_H,mean,esm1v_650M,4,954,0.9271976750057884,0.0373272802588315,0.0528124084244641,0.9564440303681728,0.9207377120934348,0.0393886445367278,0.0544425562970421,0.9486092152277183
4,SS_H,mean,esm1v_650M,5,965,0.9269500328807548,0.0373744404487056,0.0526090532269029,0.9554394429744928,0.9219819703551816,0.0390386410729963,0.0552318612971301,0.9543507614663632
0,SS_E,mean,esm1v_650M,1,972,0.8977503076240756,0.0339311966803405,0.04825430206876,0.9498669187352368,0.8848767650525549,0.0351982726281377,0.0505569443024356,0.9415403753900548
1,SS_E,mean,esm1v_650M,2,975,0.8970816265494839,0.0338423329129201,0.0483911422894334,0.949116787766972,0.8864411291630949,0.0355560925360631,0.0502987161063955,0.9443228172986032
2,SS_E,mean,esm1v_650M,3,991,0.8983062896996206,0.0336214747417583,0.0479516653942389,0.9498879738023732,0.883009979403341,0.0366467082693122,0.0517026616122836,0.9422186005588324
3,SS_E,mean,esm1v_650M,4,983,0.8967905462030887,0.0339095802507751,0.0483073109497096,0.949004653097734,0.8877540241049471,0.0353676691777035,0.0506451737673138,0.9451186549662046
4,SS_E,mean,esm1v_650M,5,986,0.8964054093905273,0.0338763736386845,0.0483281371309129,0.9488141032931738,0.888831394175184,0.0357126516353088,0.0506848752480701,0.9460782836483492
0,SS_Coil,mean,esm1v_650M,1,907,0.6189743848788072,0.0262353769873992,0.0387862863758158,0.7735906438778808,0.597405819615473,0.0271414495623088,0.0375386671673794,0.7444134476971054
1,SS_Coil,mean,esm1v_650M,2,961,0.620836346982282,0.0260402086501968,0.0384141895144142,0.7764750567961032,0.6079672029740717,0.0267262877273577,0.038218464749283,0.7504574941929805
2,SS_Coil,mean,esm1v_650M,3,899,0.6286586236558172,0.0257818558241594,0.0374566465861062,0.7743847487311949,0.5655342834269339,0.028010735431986,0.0426165472787484,0.7611305248408666
3,SS_Coil,mean,esm1v_650M,4,945,0.6309573730780842,0.0259906926664081,0.0378928328732398,0.7767549608511636,0.5546673681200189,0.0270529469018491,0.0407549524250343,0.7517413302759499
4,SS_Coil,mean,esm1v_650M,5,910,0.6223421617796365,0.0257523173263353,0.0378033762881208,0.7782085787898423,0.5838076770547165,0.0279168432850014,0.0415845324317312,0.7494064849781978
0,PCP_Charge,mean,esm1v_650M,1,1084,0.816898977291126,2.3672136192659075,3.3513585231970584,0.9206755675265108,0.7968670173384281,2.5471955713219034,3.574352271589229,0.9081179228911485
1,PCP_Charge,mean,esm1v_650M,2,1070,0.8167055378137915,2.3855685225472976,3.3582170501795456,0.9201909782102988,0.7940581028638268,2.505665337869209,3.578061466756977,0.9108383469099438
2,PCP_Charge,mean,esm1v_650M,3,1055,0.8178283538770741,2.3730833795673765,3.3523337975562058,0.9207421117903354,0.7890211184371893,2.52713433580561,3.6020646200458755,0.9108226049048974
3,PCP_Charge,mean,esm1v_650M,4,1050,0.8193836715668897,2.3597132422262312,3.3341241207514667,0.921634611111848,0.7823622668127755,2.587067118725541,3.67589151517809,0.908468241868646
4,PCP_Charge,mean,esm1v_650M,5,1069,0.8165068580142113,2.3820511421675,3.377420696375073,0.9208671743890272,0.7938350129295274,2.501299590710707,3.504187309548354,0.908631712425926
0,PCP_AAfreq_Ala,mean,esm1v_650M,1,1071,0.9594689843372074,0.0056215867291809,0.007273289562748,0.9778569763669396,0.9533678458309794,0.0059952281055892,0.0077900228758227,0.9739773485663727
1,PCP_AAfreq_Ala,mean,esm1v_650M,2,1070,0.9595973789343348,0.0056107972726365,0.0072582898441761,0.9776828856733186,0.9525966768670904,0.0060643440099803,0.0078710336805627,0.9746145230902284
2,PCP_AAfreq_Ala,mean,esm1v_650M,3,1075,0.9590027539989712,0.0056594856746259,0.0073198415484464,0.9776185770443834,0.9553822626504428,0.0058448774281591,0.0076007373754314,0.9751021607538546
3,PCP_AAfreq_Ala,mean,esm1v_650M,4,1062,0.9597404415942238,0.0056001457938791,0.0072516060559221,0.9776899805317162,0.9529245400872616,0.0060808192223213,0.0078169962888078,0.974701999916186
4,PCP_AAfreq_Ala,mean,esm1v_650M,5,1071,0.9596157696570526,0.0056073164859903,0.0072468819244122,0.977935930561326,0.952667398251382,0.0060488725390847,0.0079067218165977,0.9736038531545596
0,PCP_Hydrophobicity,mean,esm1v_650M,1,1097,0.9469631076670032,0.0513011820524358,0.0662493876720182,0.9656033658306108,0.9365782352880652,0.0553986441691887,0.0721400671032738,0.9580475243907108
1,PCP_Hydrophobicity,mean,esm1v_650M,2,1105,0.9464967938402132,0.0515033621337053,0.0665654317663333,0.9652896048939126,0.9383556362725384,0.0550140550629779,0.0709843112471943,0.9604535786582264
2,PCP_Hydrophobicity,mean,esm1v_650M,3,1095,0.947525883234846,0.0512571473289036,0.0661206030260982,0.965659239290995,0.9338355455102312,0.0558522154936791,0.0726340783648741,0.9580880213893468
3,PCP_Hydrophobicity,mean,esm1v_650M,4,1108,0.9458044512531764,0.0515125848473637,0.0666161978679231,0.9647798929308266,0.9411135597845616,0.0545842373403902,0.0709709032998444,0.9617124355472224
4,PCP_Hydrophobicity,mean,esm1v_650M,5,1098,0.9462184035554976,0.0515452130384709,0.0665276319600081,0.9651081295356626,0.9394381367963336,0.0546291612312663,0.0712791348427021,0.9608890654826584
0,PCP_Instability_index,mean,esm1v_650M,1,874,0.5499530035380403,5.6604355897753305,7.37382060825158,0.7168308995381701,0.4835792165697837,6.1112655720598665,8.007071375047397,0.6808276986991862
1,PCP_Instability_index,mean,esm1v_650M,2,858,0.5420528427907959,5.699622238460275,7.435622989911589,0.7159667655432734,0.5106640582075946,5.978750411957689,7.804147831906609,0.6827546386408195
2,PCP_Instability_index,mean,esm1v_650M,3,868,0.5425417851989764,5.6940843493387785,7.427127875661564,0.7134753146643956,0.5126569819266407,5.983134603428383,7.807427141796237,0.6933107793377782
3,PCP_Instability_index,mean,esm1v_650M,4,868,0.5436002890970402,5.700213483103344,7.436822943846224,0.7163589666518925,0.5093392973324292,5.95309066453267,7.757652961444656,0.6829940199574142
4,PCP_Instability_index,mean,esm1v_650M,5,876,0.5530200390366009,5.713175961048356,7.447995164354419,0.7194889371195763,0.4692001038406043,5.907879637289798,7.675834059140077,0.6672897434068474
0,PCP_length,mean,esm1v_650M,1,1063,0.926733966238308,28.109463308143905,39.921030624371966,0.9695308510988117,0.918056069609598,29.82036853335349,41.97350170629421,0.9640007537476916
