Unnamed: 0,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,Dataset
0,Lasso,1,0.3041818427957492,0.125908245299852,0.1728917860388279,0.2470263973962659,0.1263576897284637,0.1761406999231685,0.5641584579660924,0.5043282421144154,199,sigmoid1,SS H
1,Lasso,2,0.2990280367975777,0.1263922928369612,0.1733421286305002,0.2977962119265286,0.1246233374909967,0.1718178057630444,0.559298630321377,0.5607066944843087,206,sigmoid1,SS H
2,Lasso,3,0.3011988789703506,0.125666381411169,0.172496704619576,0.2673017627182741,0.1319245547400552,0.1808025636798812,0.560073128535803,0.5473216829094927,199,sigmoid1,SS H
3,Lasso,4,0.2981153537044315,0.1264987406935518,0.1735049613993696,0.2995119025004166,0.1245340846007623,0.1711608365388176,0.5583701304439529,0.568842329951782,208,sigmoid1,SS H
4,Lasso,5,0.3014656615514008,0.1261133069036821,0.1729335362270541,0.2749813672944142,0.1267437889205796,0.1755891706675894,0.5598101772130336,0.5512885580145044,206,sigmoid1,SS H
5,Lasso,6,0.3034170307928109,0.1255845300050836,0.1722946554525946,0.2519441679481793,0.131953239205161,0.1820324888814497,0.5629002999550701,0.5111173490838107,205,sigmoid1,SS H
6,Lasso,7,0.2961919620376601,0.126468919724469,0.1736655432717966,0.3019731491581029,0.1260206551652795,0.1714737720482135,0.5583338269530629,0.5510492962003374,196,sigmoid1,SS H
7,Lasso,8,0.2958296080125594,0.1264762222372132,0.1737868493219546,0.3170379978958056,0.1252359457391753,0.1690021549773375,0.5585456197230129,0.5625890614919973,208,sigmoid1,SS H
8,Lasso,9,0.2991393606556402,0.1263093125647097,0.1732268070503845,0.2895786950489651,0.1264326191074006,0.1737295812480675,0.559284371599327,0.5586554554736407,199,sigmoid1,SS H
9,Lasso,10,0.2979732188381836,0.1258802455503873,0.1728458451204637,0.2892957060613446,0.1312018420761074,0.1784894946157851,0.5610339743997151,0.5437389672248112,208,sigmoid1,SS H
0,Lasso,1,0.6440369088569378,0.095990096707777,0.123659921596505,0.6434371928207947,0.0938153941786931,0.1212098356272354,0.7969055438519587,0.7932639521032441,160,bos,SS H
1,Lasso,2,0.6450271688596818,0.0957730212914656,0.1233534665063847,0.6371857066078334,0.0957795927230593,0.1235033615685967,0.7966269196341511,0.7932390854831908,153,bos,SS H
2,Lasso,3,0.6432693641903866,0.0954983744713705,0.1232463908236742,0.6427850245180466,0.0986981698005877,0.1262428643043,0.7965158844600216,0.8028958604881183,161,bos,SS H
3,Lasso,4,0.6456208552467106,0.095620964774002,0.1232858133570846,0.6424991592093638,0.0956512692710581,0.1222763746814741,0.7976577538397407,0.7832651953193159,158,bos,SS H
4,Lasso,5,0.6440020235509196,0.0958096590417459,0.1234551202817413,0.6478895086313317,0.0957036952226417,0.1223665248121034,0.796284093130652,0.7947880917032417,156,bos,SS H
5,Lasso,6,0.6447508107480464,0.09544373815716,0.1230415879953221,0.6287934130310834,0.0991518052348349,0.1282300281385997,0.7970588518964945,0.7910116799437781,156,bos,SS H
6,Lasso,7,0.6438108789711898,0.0959119424949139,0.1235454835209949,0.6336145496602723,0.095982685631734,0.1242312189510978,0.7971426117491343,0.7810667950489005,158,bos,SS H
7,Lasso,8,0.6442970698569129,0.0958935339377953,0.123515582502122,0.6307078584881707,0.0963571886813643,0.1242736358669757,0.7949024861326925,0.7949156823479301,159,bos,SS H
8,Lasso,9,0.6455760122646543,0.0956454883337096,0.1231858484370946,0.6305410151477293,0.0964270971787003,0.1252849490190677,0.7971684995418231,0.7930802243102126,158,bos,SS H
9,Lasso,10,0.642505072270452,0.0956581538034429,0.1233437211512142,0.6484730233183,0.0971757206617357,0.1255299973571215,0.7966950791512473,0.7984453131733158,156,bos,SS H
0,Lasso,1,0.0318685600471215,0.1565936924974085,0.20393588132645,0.0304002497917199,0.15154343316253,0.1998785036985958,0.1728693810409171,0.17567934793543,46,pca2,SS H
1,Lasso,2,0.0313507417729772,0.156366897833152,0.2037685131733508,0.0210588273923018,0.1552086622154957,0.202868623194677,0.1709998997674429,0.1288247528462332,42,pca2,SS H
2,Lasso,3,0.0328335803462567,0.1555491522616953,0.2029339042459002,0.02098323412469,0.1614817230126898,0.2089955675324228,0.1757847593978574,0.1317337709351731,45,pca2,SS H
3,Lasso,4,0.0304844092411114,0.1563552250351061,0.2039184049977007,0.0275234957443707,0.1550059796534567,0.2016710590282479,0.1697211609303719,0.1602252800028485,47,pca2,SS H
4,Lasso,5,0.0321990156200382,0.1560630956659802,0.2035534052039139,0.0218108586919901,0.1567772448308563,0.2039550966420558,0.1732735346191745,0.1306928113220765,46,pca2,SS H
5,Lasso,6,0.0320859848164405,0.1557110121559193,0.2030971219004704,0.0235242784016715,0.1598415847359364,0.207975714706329,0.1739177649996789,0.1435363894892765,44,pca2,SS H
6,Lasso,7,0.0297653361161654,0.1565855458334011,0.2039036224931538,0.0279335299894287,0.1533142640773123,0.2023529865542525,0.167530249075555,0.1464177489234643,40,pca2,SS H
7,Lasso,8,0.0309065171943073,0.1562477930482442,0.2038735409398868,0.0287308148687497,0.1559784840333871,0.2015411706463882,0.171244354501914,0.1633115759029149,42,pca2,SS H
8,Lasso,9,0.0305522150476128,0.1562475469285853,0.203733045160054,0.0273844710924373,0.1561654611823062,0.2032761299905723,0.1683396931454042,0.1528907773446406,44,pca2,SS H
9,Lasso,10,0.0318411018706586,0.1556096476046581,0.2029810174202362,0.0286652772029576,0.1600935859482123,0.2086664594214496,0.1720472446147445,0.1907152844519628,45,pca2,SS H
0,Lasso,1,0.9030292894815212,0.0466815237752553,0.0645426467602571,0.9027166971790468,0.0451412370226559,0.0633124318924551,0.9463984585234791,0.9460413700437268,101,mean,SS H
