,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method
5,POLG_HCVJF_Sun2014,Lasso,1,-1.0658141036401504e-14,0.347275408392863,0.4008508141340513,-0.0007211857295323,0.3576374029892971,0.4106148863166018,,,0,rbf1
6,POLG_HCVJF_Sun2014,Lasso,2,-3.774758283725532e-15,0.3520451415687866,0.403319443209176,-0.0007900758681682,0.344890887888198,0.4008516314675425,,,0,rbf1
7,POLG_HCVJF_Sun2014,Lasso,3,0.0045530385455566,0.3525436815752211,0.4049648246474225,-0.0131324194877211,0.3464009267775517,0.3917196562851649,0.0964113004315229,-0.0944043996787701,3,rbf1
8,POLG_HCVJF_Sun2014,Lasso,4,0.0090600582133635,0.3491582917908664,0.40237452032919,-0.0120010299655273,0.347436937091351,0.3995557412830828,0.1236618573038763,-0.0811066611620884,5,rbf1
9,POLG_HCVJF_Sun2014,Lasso,5,-1.3544720900426911e-14,0.3461473173927314,0.3996970717407489,-0.0043939397650489,0.3575762756959401,0.4152724969891939,,,1,rbf1
10,POLG_HCVJF_Sun2014,Lasso,1,-1.0658141036401504e-14,0.347275408392863,0.4008508141340513,-0.0007211857295323,0.3576374029892971,0.4106148863166018,,,0,sigmoid1
11,POLG_HCVJF_Sun2014,Lasso,2,-3.774758283725532e-15,0.3520451415687866,0.403319443209176,-0.0007900758681682,0.344890887888198,0.4008516314675425,,,1,sigmoid1
12,POLG_HCVJF_Sun2014,Lasso,3,0.0007252042267995,0.3534578234434565,0.4057426917608354,-0.0070916814178143,0.3449626380055453,0.3905501084836553,0.070740099037034,-0.0138873595326718,1,sigmoid1
13,POLG_HCVJF_Sun2014,Lasso,4,-2.220446049250313e-16,0.3506584057677546,0.4042097686689166,-0.0002148214387682,0.3455972331558086,0.3972222262635388,,,1,sigmoid1
14,POLG_HCVJF_Sun2014,Lasso,5,-1.3544720900426911e-14,0.3461473173927314,0.3996970717407489,-0.0043939397650489,0.3575762756959401,0.4152724969891939,,,1,sigmoid1
15,POLG_HCVJF_Sun2014,Lasso,1,-1.0658141036401504e-14,0.347275408392863,0.4008508141340513,-0.0007211857295323,0.3576374029892971,0.4106148863166018,,,0,mean
16,POLG_HCVJF_Sun2014,Lasso,2,-3.774758283725532e-15,0.3520451415687866,0.403319443209176,-0.0007900758681682,0.344890887888198,0.4008516314675425,,,0,mean
17,POLG_HCVJF_Sun2014,Lasso,3,-9.547918011776346e-15,0.3535836218463275,0.4058898949875083,-0.0072219014102532,0.344954482769454,0.3905753573210817,,,0,mean
18,POLG_HCVJF_Sun2014,Lasso,4,-2.220446049250313e-16,0.3506584057677546,0.4042097686689166,-0.0002148214387682,0.3455972331558086,0.3972222262635388,,,0,mean
19,POLG_HCVJF_Sun2014,Lasso,5,-1.3544720900426911e-14,0.3461473173927314,0.3996970717407489,-0.0043939397650489,0.3575762756959401,0.4152724969891939,,,0,mean
20,POLG_HCVJF_Sun2014,Lasso,1,0.0,0.3472754201991878,0.4008508141340492,-0.0007211803225199,0.3576374138003212,0.4106148852073019,,,0,iDCT3
21,POLG_HCVJF_Sun2014,Lasso,2,0.0,0.3520451346631058,0.4033194432091753,-0.00079007233969,0.34489087974932,0.4008516307609026,,,0,iDCT3
22,POLG_HCVJF_Sun2014,Lasso,3,0.0,0.3535836109539527,0.4058898949875064,-0.0072218840855813,0.3449544697006427,0.3905753539620454,,,0,iDCT3
23,POLG_HCVJF_Sun2014,Lasso,4,0.0,0.3506584071931852,0.4042097686689165,-0.0002148210674479,0.345597234549275,0.3972222261898063,,,0,iDCT3
24,POLG_HCVJF_Sun2014,Lasso,5,0.0,0.3461473037868963,0.3996970717407462,-0.004393954522692,0.3575762656101979,0.4152725000400105,,,0,iDCT3
25,POLG_HCVJF_Sun2014,Lasso,1,0.0,0.3472754201991878,0.4008508141340492,-0.0007211803225199,0.3576374138003212,0.4106148852073019,,,0,iDCT4
26,POLG_HCVJF_Sun2014,Lasso,2,0.0,0.3520451346631058,0.4033194432091753,-0.00079007233969,0.34489087974932,0.4008516307609026,,,0,iDCT4
27,POLG_HCVJF_Sun2014,Lasso,3,0.0,0.3535836109539527,0.4058898949875064,-0.0072218840855813,0.3449544697006427,0.3905753539620454,,,0,iDCT4
28,POLG_HCVJF_Sun2014,Lasso,4,0.0,0.3506584071931852,0.4042097686689165,-0.0002148210674479,0.345597234549275,0.3972222261898063,,,0,iDCT4
29,POLG_HCVJF_Sun2014,Lasso,5,0.0,0.3461473037868963,0.3996970717407462,-0.004393954522692,0.3575762656101979,0.4152725000400105,,,0,iDCT4
30,POLG_HCVJF_Sun2014,Lasso,1,0.0014587217819383,0.3469875124107257,0.4005583425295069,0.000270272545323,0.3575607353020695,0.4104114288414244,0.0526616841286964,0.0967322929115424,2,pca2
31,POLG_HCVJF_Sun2014,Lasso,2,0.0004596319899766,0.3519831933718308,0.4032267432968505,-0.0003804395930282,0.3447644408917817,0.4007695862018887,0.0441042145668498,0.0911081639880725,1,pca2
32,POLG_HCVJF_Sun2014,Lasso,3,0.003543618016876,0.3528179523908127,0.4051700973772689,-0.0086112487277976,0.3452623435120016,0.3908446414897832,0.0901648136202603,-0.0469889446184551,1,pca2
33,POLG_HCVJF_Sun2014,Lasso,4,-2.220446049250313e-16,0.3506584057677546,0.4042097686689166,-0.0002148214387682,0.3455972331558086,0.3972222262635388,,,0,pca2
34,POLG_HCVJF_Sun2014,Lasso,5,0.0041247262848248,0.3452784147009881,0.3988718994501495,-0.0026489568690515,0.3564652341350066,0.4149116035244559,0.0822077507403733,-0.0052305970531293,5,pca2
35,POLG_HCVJF_Sun2014,Lasso,1,0.0,0.3472754201991878,0.4008508141340492,-0.0007211803225199,0.3576374138003212,0.4106148852073019,,,0,iDCT5
36,POLG_HCVJF_Sun2014,Lasso,2,0.0,0.3520451346631058,0.4033194432091753,-0.00079007233969,0.34489087974932,0.4008516307609026,,,0,iDCT5
37,POLG_HCVJF_Sun2014,Lasso,3,0.0,0.3535836109539527,0.4058898949875064,-0.0072218840855813,0.3449544697006427,0.3905753539620454,,,0,iDCT5
38,POLG_HCVJF_Sun2014,Lasso,4,0.0,0.3506584071931852,0.4042097686689165,-0.0002148210674479,0.345597234549275,0.3972222261898063,,,0,iDCT5
39,POLG_HCVJF_Sun2014,Lasso,5,0.0,0.3461473037868963,0.3996970717407462,-0.004393954522692,0.3575762656101979,0.4152725000400105,,,0,iDCT5
40,POLG_HCVJF_Sun2014,Lasso,1,-1.0658141036401504e-14,0.347275408392863,0.4008508141340513,-0.0007211857295323,0.3576374029892971,0.4106148863166018,,,0,bos
