,Unnamed: 0,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
0,0,Hydrophobicity,Lasso,1,0.099963625962219,0.202465733180362,0.2729121462028298,0.0698056092222869,0.2034642728785901,0.2762766867318728,0.2798772441014706,0.2299112368433539,257,pca2
1,1,Hydrophobicity,Lasso,2,0.1015862015645655,0.2016856667043025,0.2727702842105639,0.0801333810275957,0.2050381298857772,0.2742067334393673,0.2830259255635484,0.2301231119526805,310,pca2
2,2,Hydrophobicity,Lasso,3,0.109902383793572,0.2015385260513457,0.2723222056946756,0.0637410069822617,0.2024679435457627,0.2732285411348559,0.2910554760450021,0.2199241074331152,329,pca2
3,3,Hydrophobicity,Lasso,4,0.1080966235876018,0.2006827250238871,0.2702445452002108,0.0521836907243775,0.2090639742494837,0.2847310114919657,0.2831744027348917,0.2160394349743502,281,pca2
4,4,Hydrophobicity,Lasso,5,0.1037798121901122,0.2011519176992898,0.2715767467014282,0.0734686965406197,0.2066582464908304,0.2788000544431129,0.2857151682135953,0.2257365114559519,310,pca2
5,5,Hydrophobicity,Lasso,1,0.266600242738339,0.1827716140716399,0.2463560403051211,0.2124842457478892,0.1874294685822889,0.2542067078142019,0.5071701028078969,0.4611698073138964,464,iDCT2
6,6,Hydrophobicity,Lasso,2,0.2668185947819177,0.1827040724407319,0.2464135414523568,0.2264158760547229,0.1861666308675225,0.2514603176112741,0.5081722093388146,0.4678798848370759,495,iDCT2
7,7,Hydrophobicity,Lasso,3,0.2691132043086323,0.1825857777276141,0.2467682578340409,0.2149110054580111,0.1868753637700669,0.2502001160882668,0.5091581730213735,0.4637634460774101,466,iDCT2
8,8,Hydrophobicity,Lasso,4,0.2644495929533766,0.1818465193510871,0.2454167794689758,0.2318984376113013,0.1893175737444289,0.2563197120212664,0.510033658177357,0.4708325161049522,485,iDCT2
9,9,Hydrophobicity,Lasso,5,0.2645706871884551,0.1824664361647636,0.2460116582007736,0.2332774601799369,0.1874715902919857,0.2536190790299992,0.5056685030859892,0.4764612715550731,490,iDCT2
10,10,Hydrophobicity,Lasso,1,0.6504364361365458,0.1296185873053695,0.1700810441178617,0.4724810251258622,0.1574735535672037,0.2080541695681699,0.7757650115176394,0.6478814860599749,3005,iDCT5
11,11,Hydrophobicity,Lasso,2,0.6388625581028682,0.1317069394678951,0.1729398620337198,0.4988279475426977,0.1527047956761396,0.2023993474861384,0.7684718833539257,0.6681128266951765,2881,iDCT5
12,12,Hydrophobicity,Lasso,3,0.6462571886876975,0.1306015471099937,0.1716753923212572,0.4816294971980278,0.1551675954803121,0.2033050668603125,0.7737322222431008,0.6550106636186636,2871,iDCT5
13,13,Hydrophobicity,Lasso,4,0.6523856317202195,0.1288598379779995,0.168712356790037,0.4810577194946205,0.1567513397955041,0.2106843177715155,0.7762140246141329,0.6603304525339077,3004,iDCT5
14,14,Hydrophobicity,Lasso,5,0.634859383665979,0.1316494271094267,0.1733465858484345,0.5025174297899839,0.1552339526588163,0.2042921789294297,0.7661137428252276,0.6663315515437468,2824,iDCT5
15,15,Hydrophobicity,Lasso,1,0.2694854427054098,0.1771841885054036,0.2458709795517411,0.2560505115612336,0.1770783571232129,0.2470751715830868,0.5220509911501869,0.5034469919349072,445,sigmoid1
16,16,Hydrophobicity,Lasso,2,0.2779762618942122,0.1762004489687681,0.244531373680328,0.2262328180321262,0.1806921032859072,0.2514900681608274,0.5271231539975886,0.4840366473270311,460,sigmoid1
17,17,Hydrophobicity,Lasso,3,0.2807120221819161,0.1760772803794381,0.2448023811665076,0.2139654184106549,0.1798226242830765,0.2503507453771392,0.5267821590956265,0.4825858021215336,460,sigmoid1
18,18,Hydrophobicity,Lasso,4,0.2772520182516705,0.1746325567076277,0.2432716363565112,0.2351762747658111,0.1844521180247731,0.2557722111532959,0.5285438636363902,0.4901751394085943,473,sigmoid1
19,19,Hydrophobicity,Lasso,5,0.2718158328137269,0.1765678177115177,0.2447968562757702,0.2472137698822319,0.1810131489613561,0.2513035589148394,0.5227742665887813,0.4975033202159972,452,sigmoid1
20,20,Hydrophobicity,Lasso,1,0.6174836550495795,0.1353332843206536,0.1779171580394318,0.4496957725354261,0.1612376202783857,0.2124999369098542,0.7542201197930501,0.6296294990597661,2679,iDCT4
21,21,Hydrophobicity,Lasso,2,0.5970134490155776,0.1386392453852182,0.1826855200045387,0.4713271820112776,0.1567963013089142,0.2078783094810127,0.7429963647788637,0.6487571000874198,2427,iDCT4
22,22,Hydrophobicity,Lasso,3,0.6107242266777797,0.1366530292141475,0.1800913796369044,0.4581975179172992,0.1575398089621544,0.2078492957275827,0.7508785749399088,0.6448259380280589,2557,iDCT4
23,23,Hydrophobicity,Lasso,4,0.6105696338875719,0.1357701485514405,0.1785718258035134,0.4618847432875301,0.1599878468364324,0.21454101695656,0.7503283051813415,0.6470649156450334,2602,iDCT4
24,24,Hydrophobicity,Lasso,5,0.6056843784967652,0.1364504449750662,0.1801387777262376,0.481264759697507,0.1587742557075109,0.2086102685836403,0.747707680894006,0.6544869284146988,2554,iDCT4
25,25,Hydrophobicity,Lasso,1,0.2581518126574281,0.1784047853929332,0.247770931753698,0.2323179918622364,0.1795252394066279,0.2509851706089835,0.5128434121910116,0.4806408945239933,454,rbf1
26,26,Hydrophobicity,Lasso,2,0.2652192898064225,0.1773184722748898,0.2466821487333079,0.204857318223114,0.1827912010794599,0.254940139275854,0.5189498349099588,0.4627466752865873,463,rbf1
27,27,Hydrophobicity,Lasso,3,0.2612330928205195,0.1779712771231954,0.2480949667730465,0.2140782959721335,0.1805208399951625,0.2503327690711905,0.5127851603460098,0.4794801731618697,439,rbf1
28,28,Hydrophobicity,Lasso,4,0.2598039854332643,0.1763287560693182,0.2461905643136456,0.2301305705992344,0.1850219164029364,0.2566145159562503,0.5165390881892794,0.4825730415939003,459,rbf1
29,29,Hydrophobicity,Lasso,5,0.262827311183373,0.1773339907916578,0.2463030777416195,0.22317493972013,0.1826110980637068,0.2552844840091051,0.5143955753285858,0.4858559380517454,472,rbf1
30,30,Hydrophobicity,Lasso,1,0.3719607729311771,0.1701448477003038,0.2279744724075661,0.2959624259182055,0.1783521958440163,0.2403561836989745,0.5897738737872883,0.5253626712038127,958,iDCT3
31,31,Hydrophobicity,Lasso,2,0.3666666362148605,0.170756795529663,0.2290208557085319,0.3048300813589215,0.1766518189899991,0.2383752552922307,0.5861103361515944,0.5311104984004577,885,iDCT3
32,32,Hydrophobicity,Lasso,3,0.3723934170114948,0.1707337580946977,0.2286693631178677,0.2981594392290505,0.1771390126625555,0.2365632585846028,0.5867274067993534,0.5378544048134205,960,iDCT3
33,33,Hydrophobicity,Lasso,4,0.3700663648607556,0.1693630855310201,0.2271147976759605,0.2990639800736556,0.1816957586273404,0.2448566319118494,0.5887717851838762,0.5292224814380291,934,iDCT3
34,34,Hydrophobicity,Lasso,5,0.3740240852633518,0.1692245082825742,0.2269676870928239,0.2997709262275317,0.181157488574407,0.2423722392448646,0.5917835127637604,0.5219883521409441,946,iDCT3
35,35,Hydrophobicity,Lasso,1,0.7868521330850574,0.101444505450812,0.1328107806608317,0.7833230038505365,0.1013605168531212,0.133341023390787,0.8721330384083681,0.8694144371342103,595,bos
36,36,Hydrophobicity,Lasso,2,0.7911645634860764,0.1003380902374397,0.1315106567743026,0.7663975751881434,0.1054602353902425,0.1381829178264636,0.8745489928484544,0.8614048541363203,601,bos
37,37,Hydrophobicity,Lasso,3,0.789468137200952,0.1009320495832138,0.1324412141938338,0.772234263071877,0.1032927355994842,0.134763492881938,0.8731033521244005,0.8651997524304931,598,bos
38,38,Hydrophobicity,Lasso,4,0.7910808111234374,0.1000649679061897,0.1307938121837737,0.7672990022545224,0.1063365372743538,0.1410820640782141,0.8745285912686075,0.8608998778973691,605,bos
39,39,Hydrophobicity,Lasso,5,0.7884981263647067,0.1006528654698734,0.1319296255458373,0.7781252166165524,0.1050136450438862,0.1364321675599343,0.8734172176005145,0.8634846452072356,593,bos
40,40,Hydrophobicity,Lasso,1,0.3082684904624733,0.1737254297219462,0.2392553256189686,0.2742677340370274,0.1759476056581225,0.2440313356808129,0.5547799973198213,0.5162972060952613,695,pca1-2
41,41,Hydrophobicity,Lasso,2,0.3147122511838643,0.1727580992535242,0.2382293870759128,0.2555915380542698,0.1797418437219781,0.2466728412986049,0.5583050597416038,0.49862700785784,737,pca1-2
42,42,Hydrophobicity,Lasso,3,0.3172372590299313,0.1727668022720598,0.2385059092592082,0.2361836040664413,0.1786973962894102,0.2467871544675116,0.5563946695668369,0.4978269923145596,681,pca1-2
43,43,Hydrophobicity,Lasso,4,0.3134810681042632,0.1716549156633512,0.2370960352327955,0.2492548351498744,0.1833042635728964,0.2534072022724001,0.5565062382789632,0.5004005781416859,691,pca1-2
44,44,Hydrophobicity,Lasso,5,0.3021460173449284,0.1738496645030171,0.2396445192366631,0.2707521433902877,0.1803397721146005,0.2473434342566126,0.5483604288682714,0.512556295926631,649,pca1-2
45,45,Hydrophobicity,Lasso,1,0.9639811598237698,0.0419559808899699,0.0545956066624356,0.9599936541661052,0.0427227176801382,0.0572956727737464,0.9771823245463354,0.9742939553102634,501,mean
46,46,Hydrophobicity,Lasso,2,0.9638827590705968,0.041912548925076,0.0546910337835911,0.9606791526962606,0.043516129193852,0.0566926972083045,0.9769252538874578,0.9758787780339128,505,mean
47,47,Hydrophobicity,Lasso,3,0.963990820074321,0.04197462622535,0.0547735453341515,0.960001636073142,0.0431847388232245,0.0564740814576895,0.9771361150427712,0.97450065862391,499,mean
48,48,Hydrophobicity,Lasso,4,0.9633140348809296,0.0419583360905762,0.0548085114288185,0.9631809001930078,0.0429463466943428,0.0561189149357306,0.9765796577385608,0.977359425446278,498,mean
49,49,Hydrophobicity,Lasso,5,0.963885656355832,0.0417217620416546,0.054516138147507,0.9614175174869728,0.0434903834276552,0.0568928761868934,0.9770035693137264,0.9751973432665708,504,mean
50,50,Hydrophobicity,Lasso,1,0.0838618214570375,0.2049509565071708,0.275342546780882,0.0437744492863212,0.2076691785616069,0.2801157657593974,0.2474813426710742,0.1685629998058067,263,rbf2
51,51,Hydrophobicity,Lasso,2,0.0805094589597203,0.2050693317003193,0.2759513241939849,0.0567688620152913,0.2081720684909964,0.2776673083069373,0.2417678001065512,0.1889278876498322,256,rbf2
52,52,Hydrophobicity,Lasso,3,0.083794171104218,0.2055661625423281,0.2762871981785473,0.0367416973630363,0.206049122764603,0.2771401467951546,0.2439170501028272,0.1752024388389372,244,rbf2
53,53,Hydrophobicity,Lasso,4,0.0855412953850207,0.2042135574035419,0.2736403150367054,0.0358145108728078,0.2113276099217768,0.2871791976361653,0.2415301454812655,0.1860521772660849,245,rbf2
54,54,Hydrophobicity,Lasso,5,0.0799599012532119,0.2048850511429329,0.2751620892089707,0.0566636624015327,0.2086100253300186,0.2813170715022768,0.2443118311879885,0.1905184647605605,255,rbf2
55,55,Hydrophobicity,Lasso,1,0.7472560953058234,0.1119309010658897,0.14462160581793,0.7289754681764832,0.1151199877963951,0.149128854638381,0.8427304704782663,0.8274482112374415,612,maxPool
56,56,Hydrophobicity,Lasso,2,0.749127535098091,0.111462874189453,0.1441402755397719,0.7198857900995268,0.116674488771571,0.1513154438096031,0.843361093964948,0.826399400400392,607,maxPool
57,57,Hydrophobicity,Lasso,3,0.7478533918222114,0.1119473348881552,0.1449408494677192,0.7235199886829918,0.1153154678215671,0.1484772555434349,0.8430636235442043,0.8276045438283379,591,maxPool
58,58,Hydrophobicity,Lasso,4,0.7440725586884713,0.1121191627994832,0.1447626284541376,0.7390238214777841,0.1147339905475475,0.1494077466928538,0.8408608027872231,0.8392553135029446,609,maxPool
59,59,Hydrophobicity,Lasso,5,0.7453431115819451,0.1118539237904091,0.1447647865749236,0.7355407117568233,0.1155866682704265,0.1489505867025663,0.8410648954815445,0.8372774043306017,607,maxPool
60,60,Hydrophobicity,Lasso,1,0.0905791513021292,0.2040738752069213,0.274331253071973,0.0595525824980367,0.2051082206162523,0.2777951377428856,0.2689995825743633,0.2160493995140302,224,sigmoid2
61,61,Hydrophobicity,Lasso,2,0.0979473568641463,0.2028671281899335,0.2733221266271863,0.0619562315141345,0.2068417441382191,0.2769027296804388,0.2743926716980026,0.2144584618135823,283,sigmoid2
62,62,Hydrophobicity,Lasso,3,0.0937937688140457,0.2042337980803888,0.2747753432790136,0.0442339852215803,0.2052062636784564,0.2760602354401671,0.268099158164136,0.1963667263085229,226,sigmoid2
63,63,Hydrophobicity,Lasso,4,0.10000591632536,0.2024122939158551,0.271467510268509,0.0412270757900524,0.2104070377053565,0.2863720066813573,0.2701027483853608,0.2075502991610571,230,sigmoid2
64,64,Hydrophobicity,Lasso,5,0.0852771958651614,0.2039752716502001,0.2743657989064427,0.06401359961486,0.2078363053812043,0.280218997565983,0.2648927587453897,0.2093026706876184,213,sigmoid2
65,65,Hydrophobicity,Lasso,1,0.2668906818087527,0.1780961753873056,0.2463072548344869,0.2531451549986445,0.1783007215691301,0.2475571545660754,0.5288208403062907,0.5100601159222374,487,pca1
66,66,Hydrophobicity,Lasso,2,0.273988254528523,0.177176992781388,0.2452057628902476,0.2301681111538582,0.1818707668765213,0.2508497278051595,0.5341817297469986,0.489472740791301,507,pca1
67,67,Hydrophobicity,Lasso,3,0.2755487675851411,0.1771626421329737,0.2456794407494777,0.2177795693413901,0.1809832129055296,0.2497426062899082,0.5309289727536137,0.4900331431782388,484,pca1
68,68,Hydrophobicity,Lasso,4,0.2711886472108621,0.1760232680310701,0.2442899480496314,0.2396876623149589,0.185045581903981,0.255016746758427,0.5316864588673844,0.5026630763875037,499,pca1
69,69,Hydrophobicity,Lasso,5,0.268773002186899,0.1775531905790534,0.2453077839245497,0.2455208672266635,0.1817994192139146,0.2515859721222285,0.5277958374479224,0.5061586720271264,499,pca1
70,70,Hydrophobicity,Lasso,1,0.1640995739605183,0.1942531003410936,0.2630086956005771,0.137934434237808,0.1949589517080472,0.2659668623706022,0.4118518994920028,0.3863165499346274,181,iDCT1
71,71,Hydrophobicity,Lasso,2,0.1641292828324886,0.1938154776758895,0.2631045780679104,0.1396454003105391,0.1966243641043303,0.2651883420249601,0.4159203193511235,0.379848493373115,184,iDCT1
72,72,Hydrophobicity,Lasso,3,0.1639992137543573,0.1942470325420102,0.2639171301331596,0.1424416124173897,0.194477022205588,0.2614929061264001,0.4128659198865627,0.3872396675809403,188,iDCT1
73,73,Hydrophobicity,Lasso,4,0.1615202281634803,0.1932290438230521,0.2620259640459704,0.1518423221727447,0.1985531887261615,0.2693462795916015,0.4129977073217024,0.3955241934898725,185,iDCT1
74,74,Hydrophobicity,Lasso,5,0.1585965418018392,0.1942035030774643,0.2631403006780621,0.1519544517436931,0.1951019450268891,0.2667303256370419,0.4078274729272346,0.4067781933653276,174,iDCT1
75,75,Length,Lasso,1,0.1849270195720382,101.31201380955292,133.15229373277427,0.1328569140565809,103.66532552100884,136.54072039084457,0.3859670237865341,0.3341905440421297,361,pca2
76,76,Length,Lasso,2,0.1785154262912932,102.28587715456602,134.53217811325928,0.1390754297644469,102.25326056662422,132.39806970750698,0.3783126223636673,0.3526815633077681,332,pca2
77,77,Length,Lasso,3,0.1784459767901149,101.73935543321087,133.67735525756044,0.1550774750997476,103.50200507793546,134.7751529224909,0.3814832019468508,0.339551410734511,356,pca2
78,78,Length,Lasso,4,0.184020085521999,101.22510299616803,132.80533782515826,0.1214632856586116,104.16704368303375,139.1305005218956,0.3754936578552492,0.3380967250815311,332,pca2
79,79,Length,Lasso,5,0.1767535600760472,101.18052117794218,132.5958012167325,0.1577030737333302,104.81776527929644,139.37982070573474,0.3806342201261439,0.3480320275613704,357,pca2
80,80,Length,Lasso,1,0.5482647585832617,70.80847466515552,99.12709755899112,0.5057692956330635,73.83879111131147,103.08172282523364,0.7767855433299969,0.7514053449335247,553,iDCT2
81,81,Length,Lasso,2,0.5457529367117466,71.73969141968351,100.03973474323806,0.5188239799921297,70.60603015506672,98.98082970059164,0.7733129336767558,0.763957057789565,555,iDCT2
82,82,Length,Lasso,3,0.5473135298391913,70.83078142987665,99.2289826048223,0.515496084303207,73.5264733026856,102.05870064616128,0.7786487918044007,0.7474102937105477,547,iDCT2
83,83,Length,Lasso,4,0.5470276993213636,70.92940725953908,98.94904783163534,0.5191166800971712,72.99858059404701,102.93480505561644,0.7741475257618837,0.7673677013183499,562,iDCT2
84,84,Length,Lasso,5,0.5460532634437743,70.20910264695817,98.46169105241734,0.5199559790015775,74.85660467598399,105.22230858808558,0.7769232430937754,0.7631706439814245,564,iDCT2
85,85,Length,Lasso,1,0.9206485069682526,29.61408952303721,41.54587931245962,0.8749115844503662,37.893627375438754,51.859145059317214,0.9596579267829528,0.935692716950432,3815,iDCT5
86,86,Length,Lasso,2,0.9223204812345114,29.801994797234457,41.36944843067908,0.8612592790566742,37.460258754161984,53.14973158244703,0.9595278116157994,0.9339078541555562,3781,iDCT5
