,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method
0,SS_Coil,Lasso,1,0.0112028279558127,0.0437409024601695,0.0624819710237524,9.125264020792834e-05,0.04324216904723,0.0591596077960773,0.101836111917862,0.0328378097204542,84,pca2
1,SS_Coil,Lasso,2,0.0045555410677415,0.043796313642085,0.0622424733398038,0.0003739805447021,0.0434061006150948,0.0610282353936203,0.0750257279998752,0.0500090873226113,35,pca2
2,SS_Coil,Lasso,3,0.0028436470300251,0.0435557728020184,0.0613795714962382,0.0011530016534238,0.0445804123841087,0.0646174758677246,0.065264278670534,0.0503243951698959,17,pca2
3,SS_Coil,Lasso,4,0.010850367319851,0.0437665095197484,0.0620368595819073,-0.0006415231488978,0.0431929787696004,0.0610910220815925,0.0973687688545816,0.0444327708724156,80,pca2
4,SS_Coil,Lasso,5,0.0065572987777947,0.0434858634539084,0.0613130258514556,0.0012599283720448,0.0444806533802582,0.0644185622708572,0.0924237103877732,0.0462500388933446,45,pca2
5,SS_Coil,Lasso,1,0.0116119057721498,0.0437255685194771,0.0624690448983757,0.0035454580965684,0.0431171236764903,0.0590573353495074,0.1181717373663068,0.0634963750467329,72,iDCT2
6,SS_Coil,Lasso,2,0.010721884966278,0.0436641237029479,0.0620493913843474,0.0024611129454547,0.0434437322177487,0.0609644912728495,0.1110983055458662,0.0532416509597399,49,iDCT2
7,SS_Coil,Lasso,3,0.006900072493542,0.0434430295695133,0.0612545984234104,0.0032203664902729,0.0446002485152184,0.0645505701790991,0.0932448582742066,0.057117392084152,32,iDCT2
8,SS_Coil,Lasso,4,0.0110263256278707,0.0437254036765831,0.0620313415156903,0.0022682146386093,0.043191135558056,0.0610021349703973,0.1116609378849376,0.0636430090255507,68,iDCT2
9,SS_Coil,Lasso,5,0.0054232000034306,0.0434984724941407,0.0613480128686622,0.0050142698633598,0.0443819850486264,0.0642973710826936,0.0885484208437474,0.086444190485325,31,iDCT2
10,SS_Coil,Lasso,1,0.0222259712195548,0.0434716143236749,0.0621327193987641,0.0033607299200622,0.0431164321809119,0.0590628092812516,0.1669567419953326,0.0792274704428119,146,iDCT5
11,SS_Coil,Lasso,2,0.0184236258782752,0.0434645053189353,0.0618073855809081,0.0023919471366082,0.0434519090804371,0.0609666047670275,0.1575610848273143,0.0514607553832263,121,iDCT5
12,SS_Coil,Lasso,3,0.0100372575142374,0.0433821212592944,0.0611577707998653,0.0052457379736031,0.0444768859809516,0.0644849561959233,0.1251119140196019,0.0890299129869405,67,iDCT5
13,SS_Coil,Lasso,4,0.0137791044359574,0.0436614928858814,0.0619449501597846,0.002779698119222,0.0431461551249201,0.0609864967073658,0.1345522640603368,0.0692670594006492,72,iDCT5
14,SS_Coil,Lasso,5,0.0101889941763085,0.0433808056215186,0.0612008532478224,0.0052039136822784,0.0443674954131152,0.0642912432661289,0.1251786582905769,0.0787660767314255,59,iDCT5
15,SS_Coil,Lasso,1,0.3122020209218632,0.0366575701758065,0.0521112584252361,0.242044019788384,0.0377396671479372,0.0515070994910672,0.5296820744033007,0.4523088115006591,782,maxPool
16,SS_Coil,Lasso,2,0.309524186719327,0.0365248910132412,0.0518385160017003,0.2278869454086262,0.0381107288385669,0.0536355186329987,0.5301114674829972,0.4625459333526616,769,maxPool
17,SS_Coil,Lasso,3,0.3294415391490176,0.0359833597780589,0.050333895747658,0.2076840242821509,0.0389233406943456,0.0575505808547256,0.5391864800048551,0.4696386400173978,899,maxPool
18,SS_Coil,Lasso,4,0.3276512706958273,0.0363149373272546,0.0511465214573161,0.2060092669572627,0.0379768901624913,0.0544184099073162,0.5378142029665202,0.4578415024932242,895,maxPool
19,SS_Coil,Lasso,5,0.3069564741491291,0.0362645827601495,0.051210803880311,0.2053444853778244,0.0392663749796539,0.0574611404103718,0.5304138763245614,0.4606417406402426,729,maxPool
