,Model,Fold,Accuracy_train,Recall_train,Precision_train,F1_score_train,Accuracy_test,Recall_test,Precision_test,F1_score_test,class_0_non_zero_coef,class_1_non_zero_coef,class_2_non_zero_coef,class_3_non_zero_coef,class_4_non_zero_coef,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,Compression_methd
0,LogR,1,0.9995834201208081,0.9992755640589737,0.999774647887324,0.9995246822363612,0.7808988764044944,0.6647424120682925,0.7075786996175346,0.6802674054027897,1164,930,954,1474,959,0.7021276595744681,0.48717948717948717,0.3333333333333333,0.8770949720670391,0.9239766081871345,iDCT2
1,LogR,2,0.9993751301812123,0.99914179085101,0.9996617812852311,0.999401264249775,0.7715355805243446,0.6270107390828938,0.7143363128573059,0.6491628946358758,1161,918,951,1465,983,0.6601941747572816,0.24324324324324326,0.41304347826086957,0.8784530386740331,0.9401197604790419,iDCT2
2,LogR,3,0.9993751301812123,0.9991410405320531,0.9996621621621621,0.9994010788548344,0.7808988764044944,0.6484932314666119,0.6791492149388998,0.6581903494644549,1183,890,931,1476,1016,0.7920792079207921,0.24324324324324326,0.44680851063829785,0.8603351955307262,0.9,iDCT2
3,LogR,4,0.9997917100604041,0.9998648648648649,0.9998856489422527,0.9998752177190839,0.7584269662921348,0.6367610201975527,0.6728085382316753,0.646943295587387,1163,853,935,1499,992,0.7647058823529411,0.2857142857142857,0.39215686274509803,0.8333333333333334,0.9078947368421053,iDCT2
4,LogR,5,0.9993751301812123,0.999483347310411,0.9996555683122846,0.9995691420146808,0.7865168539325843,0.6474603596421296,0.7245281484890321,0.672431148618718,1167,918,1005,1542,980,0.675,0.425,0.3333333333333333,0.892018779342723,0.9119496855345912,iDCT2
5,LogR,6,0.9995835068721366,0.9996158392936192,0.9997723392145703,0.9996939247047534,0.7917448405253283,0.6549669392431179,0.6879575359941841,0.6670691085407432,1166,918,958,1495,976,0.7176470588235294,0.41379310344827586,0.36363636363636365,0.8527918781725888,0.9269662921348315,iDCT2
6,LogR,7,0.9995835068721366,0.9996161758318716,0.9997733711048159,0.9996946091962707,0.7617260787992496,0.6507969995311768,0.6817164607038867,0.662433182275558,1164,893,908,1490,994,0.6888888888888889,0.325,0.48214285714285715,0.8465608465608465,0.9113924050632911,iDCT2
7,LogR,8,0.9993752603082049,0.9991398465639559,0.9996613995485326,0.9994000969665422,0.7560975609756098,0.6507427427342104,0.7017164405582572,0.6688648477200551,1174,900,941,1490,997,0.6530612244897959,0.35555555555555557,0.48,0.8415300546448088,0.9235668789808917,iDCT2
8,LogR,9,0.9991670137442732,0.9992398603811647,0.999538372763993,0.99938845899143,0.799249530956848,0.6586799767968637,0.6990559801779023,0.6743320754232005,1167,916,939,1469,1007,0.6493506493506493,0.37142857142857144,0.4473684210526316,0.8565022421524664,0.96875,iDCT2
9,LogR,10,0.9995835068721366,0.999618127974758,0.9997714285714286,0.9996946141530529,0.7711069418386491,0.6570637599981132,0.7056728157683121,0.6743941233420253,1191,902,951,1475,950,0.6987951807228916,0.41025641025641024,0.425531914893617,0.8382352941176471,0.9125,iDCT2
0,LogR,1,0.853363882524474,0.7805466475606508,0.8569257558995087,0.8111864069713202,0.7078651685393258,0.5796427181783178,0.6207374225643859,0.593277217474017,532,475,471,575,511,0.5638297872340425,0.3076923076923077,0.3333333333333333,0.8044692737430168,0.8888888888888888,pca1
1,LogR,2,0.8485732139137679,0.7707622504565466,0.8531917457774609,0.8031203719121665,0.7378277153558053,0.5992460426770029,0.6882540369165472,0.6222850362175374,522,494,482,566,518,0.6601941747572816,0.24324324324324326,0.3695652173913043,0.8729281767955801,0.8502994011976048,pca1
2,LogR,3,0.8500312434909394,0.7755670083985609,0.8567899203794825,0.8076505042945297,0.702247191011236,0.5773375225691326,0.6297001861599048,0.5946099151708628,516,486,498,563,530,0.504950495049505,0.2702702702702703,0.425531914893617,0.8212290502793296,0.8647058823529412,pca1
3,LogR,4,0.8556550718600292,0.7837903259921278,0.8608028495449963,0.8146730902942434,0.7172284644194756,0.5983362818811735,0.6329467280686794,0.6103555161482309,530,478,470,567,509,0.6352941176470588,0.23809523809523808,0.45098039215686275,0.8186274509803921,0.8486842105263158,pca1
4,LogR,5,0.8566965215580088,0.784163924756456,0.8619816733647128,0.8147893286854654,0.704119850187266,0.5670236513420143,0.6148187106312551,0.5836271621406085,530,485,476,554,509,0.525,0.325,0.3333333333333333,0.8215962441314554,0.8301886792452831,pca1
5,LogR,6,0.8494377342773844,0.777941133632474,0.8567685984483097,0.8091381445262383,0.7298311444652908,0.5887329296240604,0.6176227106227106,0.596817939604638,535,478,480,572,519,0.6705882352941176,0.27586206896551724,0.3409090909090909,0.7461928934010152,0.9101123595505618,pca1
6,LogR,7,0.8567263640149938,0.782469568166698,0.8577525999710358,0.8125124248386049,0.7073170731707317,0.583047351148617,0.650378765441672,0.6002778169007131,519,489,487,561,505,0.5888888888888889,0.325,0.30357142857142855,0.8306878306878307,0.8670886075949367,pca1
7,LogR,8,0.8561016243231987,0.7813047027642999,0.8663012122777033,0.814704037656211,0.6979362101313321,0.5692641984990022,0.6465249755386232,0.5833406184630017,512,475,488,564,512,0.6326530612244898,0.17777777777777778,0.36,0.8032786885245902,0.8726114649681529,pca1
8,LogR,9,0.8481882548937942,0.7725686669696334,0.8565311616740521,0.8046180115135328,0.7410881801125704,0.6068704578404838,0.6260576409349415,0.6149058166325924,532,487,462,551,512,0.5324675324675324,0.34285714285714286,0.4473684210526316,0.8116591928251121,0.9,pca1
